;unnamed: 1_level_0;economicamente ativas;economicamente ativas;economicamente ativas;não economicamente ativas
;unnamed: 1_level_1;total;condição de ocupação na semana de referência;condição de ocupação na semana de referência.1;unnamed: 5_level_1
               brasil;0.0;1.0192163009841144;1.2492223296533158;4.721242439831421;2.3781558542962444
situação do domicílio;;;;;
urbana;0.0;1.0713821898065459;1.3314758818779304;4.87517724905428;2.484827378225662
rural;0.0;2.958870527937523;3.374219845726766;21.219022107861598;7.296838960594388
grandes regiões;;;;;
norte;0.0;2.4706902267072772;3.0934102573289626;12.065579321992185;5.70466484951945
nordeste;0.0;1.6145754755248067;1.9943280073761451;7.384989603900962;3.7536064520553083
sudeste;0.0;1.9705740235718647;2.4485101555084974;8.402392545008459;4.608954502745895
sul;0.0;2.780504466402256;3.317541201549321;11.978060716248525;6.0953101780013
