;Unnamed: 1_level_0;Sem instrução;Fundamental ou equivalente;Fundamental ou equivalente;Médio ou equivalente;Médio ou equivalente;Superior ou equivalente;Superior ou equivalente
;;Unnamed: 2_level_1;Incompleto ;Completo ;Incompleto ;Completo ;Incompleto ;Completo 
               Brasil;0.0;5.38;1.83;4.41;5.12;3.29;8.47;7.27
Situação do domicílio;;;;;;;;
Urbana;0.0;5.92;1.93;4.62;5.18;3.35;8.6;7.36
Rural;0.0;11.17;4.76;15.05;24.45;13.64;57.63;35.8
Grandes Regiões;;;;;;;;
Norte;0.0;15.37;3.77;11.49;12.91;7.7;18.79;24.11
Nordeste;0.0;7.42;3.13;7.83;8.43;5.74;16.55;14.1
Sudeste;0.0;12.21;3.7;7.36;9.38;5.92;13.42;11.08
Sul;0.0;14.45;4.0;10.96;13.17;8.06;20.26;18.37
Centro-Oeste;0.0;13.95;5.16;13.3;13.32;9.87;22.57;19.67
