;total;falta de provas;não era importante;não acreditavam na polícia;não queriam envolver a polícia ou medo de represália;outro
brasil (1);100.0;6.93;18.05;12.97;33.02;29.03
sem rendimento a menos de 1/4 do salário mínimo (2);100.0;5.5;15.31;11.98;36.03;31.19
1/4 a menos de 1/2 salário mínimo ;100.0;7.01;15.45;11.86;38.92;26.76
1/2 a menos de 1 salário mínimo ;100.0;5.31;20.83;13.4;31.25;29.21
1 a menos de 2 salários mínimos ;100.0;8.04;17.21;13.02;32.08;29.65
2 salários mínimos ou mais ;100.0;11.7;21.59;16.67;19.48;30.55
norte (1);100.0;8.19;17.78;17.38;32.48;24.17
sem rendimento a menos de 1/4 do salário mínimo (2);100.0;9.33;12.79;9.76;29.05;39.08
1/4 a menos de 1/2 salário mínimo ;100.0;5.74;21.91;12.36;35.9;24.08
1/2 a menos de 1 salário mínimo ;100.0;9.23;18.8;18.89;34.43;18.64
1 a menos de 2 salários mínimos ;100.0;10.28;13.66;28.86;23.54;23.66
2 salários mínimos ou mais ;100.0;9.96;13.29;27.95;29.88;18.91
nordeste (1);100.0;6.3;16.85;12.96;36.47;27.41
sem rendimento a menos de 1/4 do salário mínimo (2);100.0;5.73;14.58;12.77;35.67;31.26
1/4 a menos de 1/2 salário mínimo ;100.0;7.13;14.15;10.58;42.98;25.17
1/2 a menos de 1 salário mínimo ;100.0;4.44;21.24;14.41;33.49;26.42
1 a menos de 2 salários mínimos ;100.0;8.18;14.83;13.06;36.43;27.5
2 salários mínimos ou mais ;100.0;10.94;23.16;22.41;14.42;29.07
sudeste (1);100.0;6.09;17.84;12.6;31.55;31.92
sem rendimento a menos de 1/4 do salário mínimo (2);100.0;1.5;14.54;10.99;43.9;29.07
1/4 a menos de 1/2 salário mínimo ;100.0;4.74;13.94;16.29;37.44;27.6
1/2 a menos de 1 salário mínimo ;100.0;4.8;19.39;12.99;28.74;34.08
1 a menos de 2 salários mínimos ;100.0;6.45;16.99;9.32;34.14;33.09
2 salários mínimos ou mais ;100.0;11.5;21.57;14.74;18.28;33.91
sul (1);100.0;11.4;23.18;11.48;27.04;26.89
sem rendimento a menos de 1/4 do salário mínimo (2);100.0;9.35;21.04;14.18;25.83;29.6
1/4 a menos de 1/2 salário mínimo ;100.0;13.87;18.85;9.91;31.5;25.88
1/2 a menos de 1 salário mínimo ;100.0;6.63;28.38;8.26;26.18;30.55
1 a menos de 2 salários mínimos ;100.0;13.56;21.45;15.64;26.42;22.94
2 salários mínimos ou mais ;100.0;15.71;25.15;13.07;19.75;26.33
centro-oeste (1);100.0;4.75;16.67;11.53;33.48;33.58
sem rendimento a menos de 1/4 do salário mínimo (2);100.0;4.52;22.0;4.52;41.86;27.11
1/4 a menos de 1/2 salário mínimo ;100.0;5.32;12.53;8.2;30.14;43.81
1/2 a menos de 1 salário mínimo ;100.0;4.14;15.86;12.03;36.25;31.72
1 a menos de 2 salários mínimos ;100.0;4.26;20.61;13.95;26.9;34.29
2 salários mínimos ou mais ;100.0;8.41;16.49;16.75;34.88;23.47
