;"Total
(1)";Classes de rendimento mensal domiciliar per capita (salário mínimo);Classes de rendimento mensal domiciliar per capita (salário mínimo);Classes de rendimento mensal domiciliar per capita (salário mínimo);Classes de rendimento mensal domiciliar per capita (salário mínimo);Classes de rendimento mensal domiciliar per capita (salário mínimo)
;;"Sem rendimento a menos de 1/4
(2) ";"1/4 a menos
de 1/2 ";"1/2 a menos
de 1 ";"1 a menos
de 2";2 ou mais 
               Brasil;2.19;5.29;4.12;3.6;3.63;5.1
Situação do domicílio;;;;;;
Urbana;2.23;5.56;4.22;3.79;3.73;5.2
Rural;7.02;11.26;11.72;11.41;14.86;27.62
Grandes Regiões;;;;;;
Norte;5.08;10.0;8.83;8.5;11.13;12.18
Nordeste;4.09;7.79;6.31;6.16;7.3;9.69
Sudeste;3.96;11.44;9.6;7.18;5.95;8.27
Sul;4.8;14.27;9.88;8.31;8.17;10.45
Centro-Oeste;6.19;16.6;14.0;7.92;9.81;12.99
Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2009.;;;;;;
