;unnamed: 1_level_0;própria residência;via pública;outro
;0.0;2.7478080697103064;1.7069157980124854;2.729990766636668
sem rendimento a menos de 1/4 do salário mínimo (2);0.0;5.76;4.32;7.48
1/4 a menos de 1/2 salário mínimo ;0.0;5.14;3.7;6.81
1/2 a menos de 1 salário mínimo ;0.0;5.23;3.22;4.71
1 a menos de 2 salários mínimos ;0.0;6.25;3.33;5.13
2 salários mínimos ou mais ;0.0;10.26;4.56;7.73
norte (1);0.0;8.24;3.82;6.4
sem rendimento a menos de 1/4 do salário mínimo (2);0.0;18.06;9.0;20.41
1/4 a menos de 1/2 salário mínimo ;0.0;12.92;8.02;11.06
1/2 a menos de 1 salário mínimo ;0.0;14.27;6.88;11.46
1 a menos de 2 salários mínimos ;0.0;18.3;7.55;16.09
2 salários mínimos ou mais ;0.0;20.18;12.95;15.41
nordeste (1);0.0;4.78;2.83;5.48
sem rendimento a menos de 1/4 do salário mínimo (2);0.0;8.2;5.49;10.44
1/4 a menos de 1/2 salário mínimo ;0.0;7.4;5.52;12.28
1/2 a menos de 1 salário mínimo ;0.0;10.89;5.42;8.92
1 a menos de 2 salários mínimos ;0.0;12.81;6.37;10.48
2 salários mínimos ou mais ;0.0;22.15;7.77;18.13
sudeste (1);0.0;4.83;3.21;4.88
sem rendimento a menos de 1/4 do salário mínimo (2);0.0;10.97;10.63;18.08
1/4 a menos de 1/2 salário mínimo ;0.0;11.26;8.03;14.7
1/2 a menos de 1 salário mínimo ;0.0;8.74;6.18;8.55
1 a menos de 2 salários mínimos ;0.0;10.12;5.75;8.35
2 salários mínimos ou mais ;0.0;17.47;7.11;12.23
sul (1);0.0;7.82;4.62;5.77
sem rendimento a menos de 1/4 do salário mínimo (2);0.0;21.33;17.76;17.46
1/4 a menos de 1/2 salário mínimo ;0.0;16.75;10.97;17.77
1/2 a menos de 1 salário mínimo ;0.0;13.13;8.9;10.54
1 a menos de 2 salários mínimos ;0.0;15.45;7.31;10.9
2 salários mínimos ou mais ;0.0;20.97;11.01;14.78
centro-oeste (1);0.0;6.72;4.72;6.42
sem rendimento a menos de 1/4 do salário mínimo (2);0.0;21.02;22.83;25.88
1/4 a menos de 1/2 salário mínimo ;0.0;13.86;13.81;14.57
1/2 a menos de 1 salário mínimo ;0.0;12.27;8.66;11.81
1 a menos de 2 salários mínimos ;0.0;13.59;8.22;11.14
2 salários mínimos ou mais ;0.0;25.08;12.73;15.24
