;Unnamed: 1_level_0;Sem instrução;Fundamental ou equivalente;Fundamental ou equivalente;Médio ou equivalente;Médio ou equivalente;Superior ou equivalente;Superior ou equivalente
;;Unnamed: 2_level_1;Incompleto ;Completo ;Incompleto ;Completo ;Incompleto ;Completo 
               Brasil;2.18;5.99;2.79;4.9;5.45;3.92;8.43;7.45
Situação do domicílio;;;;;;;;
Urbana;2.22;6.4;2.83;5.18;5.59;4.01;8.57;7.49
Rural;7.02;13.17;9.02;15.15;23.94;15.43;58.7;36.91
Grandes Regiões;;;;;;;;
Norte;5.05;15.84;6.23;11.7;13.9;8.59;19.54;24.91
Nordeste;4.07;9.41;4.83;8.54;8.4;7.34;16.24;14.22
Sudeste;3.95;12.34;5.51;8.44;10.2;6.97;13.37;11.53
Sul;4.84;15.52;6.34;12.18;14.17;9.05;20.3;17.74
Centro-Oeste;6.16;15.62;7.98;13.42;15.49;11.0;22.29;20.12
