;Total ;Agressor na última agressão física;Agressor na última agressão física;Agressor na última agressão física;Agressor na última agressão física;Agressor na última agressão física
;;Pessoa desconhecida;"Policial ou segurança
privada";"Cônjuge ou
ex-cônjuge";Parente;"Pessoa
conhecida"
               Brasil;2.18;2.88;8.01;4.81;6.09;3.4
Situação do domicílio;;;;;;
Urbana;2.33;3.05;8.22;5.16;6.38;3.59
Rural;7.28;10.51;26.86;13.57;17.83;9.39
Grandes Regiões;;;;;;
Norte;5.08;6.53;19.27;12.0;15.25;7.88
Nordeste;16.55;21.87;56.69;36.1;56.24;27.47
Sudeste;4.1;5.47;14.14;7.86;10.32;6.0
Sul;3.93;5.43;13.7;9.07;11.17;6.06
