;unnamed: 1_level_0;falta de provas;não era importante;não acreditavam na polícia;não queriam envolver a polícia ou medo de represália;outro
;1395.553;96.679;251.898;180.975;460.835;405.166
sem rendimento a menos de 1/4 do salário mínimo (2);205.72;11.32;31.5;24.64;74.11;64.16
1/4 a menos de 1/2 salário mínimo ;320.6;22.47;49.54;38.04;124.78;85.78
1/2 a menos de 1 salário mínimo ;400.84;21.29;83.5;53.7;125.27;117.08
1 a menos de 2 salários mínimos ;269.1;21.64;46.31;35.04;86.34;79.78
2 salários mínimos ou mais ;158.4;18.53;34.2;26.41;30.86;48.4
norte (1);130.66;10.7;23.23;22.7;42.44;31.58
sem rendimento a menos de 1/4 do salário mínimo (2);17.89;1.67;2.29;1.75;5.2;6.99
1/4 a menos de 1/2 salário mínimo ;39.71;2.28;8.7;4.91;14.26;9.56
1/2 a menos de 1 salário mínimo ;41.12;3.8;7.73;7.77;14.16;7.67
1 a menos de 2 salários mínimos ;20.97;2.15;2.86;6.05;4.94;4.96
2 salários mínimos ou mais ;7.98;0.8;1.06;2.23;2.38;1.51
nordeste (1);512.19;32.29;86.33;66.38;186.81;140.38
sem rendimento a menos de 1/4 do salário mínimo (2);119.75;6.86;17.46;15.29;42.71;37.43
1/4 a menos de 1/2 salário mínimo ;157.19;11.2;22.24;16.62;67.56;39.57
1/2 a menos de 1 salário mínimo ;138.29;6.14;29.37;19.92;46.32;36.54
1 a menos de 2 salários mínimos ;61.16;5.0;9.07;7.98;22.28;16.82
2 salários mínimos ou mais ;28.19;3.08;6.53;6.32;4.07;8.2
sudeste (1);485.31;29.58;86.57;61.14;153.12;154.9
sem rendimento a menos de 1/4 do salário mínimo (2);40.8;0.61;5.93;4.49;17.91;11.86
1/4 a menos de 1/2 salário mínimo ;71.73;3.4;10.0;11.68;26.85;19.8
1/2 a menos de 1 salário mínimo ;136.99;6.58;26.57;17.79;39.37;46.69
1 a menos de 2 salários mínimos ;124.47;8.03;21.15;11.6;42.5;41.19
2 salários mínimos ou mais ;89.91;10.34;19.39;13.25;16.44;30.48
sul (1);171.77;19.58;39.82;19.73;46.45;46.2
sem rendimento a menos de 1/4 do salário mínimo (2);19.48;1.82;4.1;2.76;5.03;5.77
1/4 a menos de 1/2 salário mínimo ;32.98;4.57;6.22;3.27;10.39;8.54
1/2 a menos de 1 salário mínimo ;51.46;3.41;14.6;4.25;13.47;15.72
1 a menos de 2 salários mínimos ;40.72;5.52;8.73;6.37;10.76;9.34
2 salários mínimos ou mais ;21.83;3.43;5.49;2.85;4.31;5.75
centro-oeste (1);95.62;4.54;15.94;11.02;32.01;32.11
sem rendimento a menos de 1/4 do salário mínimo (2);7.8;0.35;1.72;0.35;3.26;2.11
1/4 a menos de 1/2 salário mínimo ;18.99;1.01;2.38;1.56;5.72;8.32
1/2 a menos de 1 salário mínimo ;32.99;1.36;5.23;3.97;11.96;10.46
1 a menos de 2 salários mínimos ;21.78;0.93;4.49;3.04;5.86;7.47
2 salários mínimos ou mais ;10.5;0.88;1.73;1.76;3.66;2.46
