;coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que foram vítimas de agressão física, no período de referência de 365 dias (%);coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que foram vítimas de agressão física, no período de referência de 365 dias (%);coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que foram vítimas de agressão física, no período de referência de 365 dias (%);coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que foram vítimas de agressão física, no período de referência de 365 dias (%);coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que foram vítimas de agressão física, no período de referência de 365 dias (%);coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que foram vítimas de agressão física, no período de referência de 365 dias (%)
;total;motivo de não terem procurado a polícia em decorrência da última agressão física;motivo de não terem procurado a polícia em decorrência da última agressão física.1;motivo de não terem procurado a polícia em decorrência da última agressão física.2;motivo de não terem procurado a polícia em decorrência da última agressão física.3;motivo de não terem procurado a polícia em decorrência da última agressão física.4
total (1)(2);2.677971483200922;8.096301714790846;5.52497412724838;5.938873489355621;4.135949885118117;4.87618289831904
sexo;;;;;;
homens;3.079325156913104;9.977114848991054;6.355730513595561;6.6547847783512255;5.2944073277001555;5.688449758418131
mulheres;3.6998147957134577;12.803842661859473;9.034900155863488;10.095484250540457;5.484340704946018;6.795972447333219
cor ou raça;;;;;;
branca;3.719984871596598;12.054599776991987;8.387897646980667;9.311045168048773;6.814689349460098;6.807086985989138
preta ou parda;3.2180180963867553;10.29592563098677;7.075688041833315;7.372102952409499;4.704754448394305;5.804947562879859
preta;7.1768657627587595;21.95311569888819;14.127600274505996;16.751125375449416;10.375518375961548;14.510686706669489
parda;3.4184106434174057;11.826182637516315;8.187219278784388;8.061604655953476;4.981554769522433;6.0981406773384474
grupos de idade;;;;;;
10 a 24 anos;3.6359398473125;11.814771152285465;7.472453635594438;9.395903223083417;5.586504167450572;6.189769950581098
25 a 34 anos;4.581343865235409;16.374813308309278;10.30478766126267;10.386578019191635;7.721876049295693;9.313167497598258
35 a 39 anos;7.646092287190675;29.319152425888113;20.453415245204177;17.680298557262645;11.756062610000015;14.20586479131037
40 a 49 anos;6.193682602312428;23.18636066577746;15.995094441011961;15.406009377465786;10.803383374011153;11.687846957877479
50 anos ou mais;6.225617660556633;18.161455505827895;15.185754458171434;15.131355451403897;11.252182055627168;12.518624787705045
nível de instrução;;;;;;
sem instrução;7.744146101777296;25.467885464263063;16.955062444884653;20.22520776229557;11.671064201805624;14.730367926653656
fundamental incompleto ou equivalente;3.349489384463116;12.699822523164451;7.280899352818935;8.831158668868355;5.371772565320745;6.146353784116122
fundamental completo ou equivalente;6.595682686846433;21.815208981105588;15.402586726740305;16.362019354370847;10.463542968287497;12.893110198499917
médio incompleto ou equivalente;7.321722190932323;26.089740097200483;16.147117460800818;18.56473925288924;11.855513800570744;16.205433306474717
médio completo ou equivalente;5.684061616795694;19.211614283465064;12.632324541489696;12.036675607670569;9.509063109760797;11.68080515589273
superior incompleto ou equivalente;11.981367647163575;35.90495441549168;30.972392473766416;25.651755799346077;24.07464282830812;22.988856058816406
superior completo ou equivalente;11.045037665160983;36.855594934544186;25.080028959058698;26.154927484407605;21.55720828672651;20.29093164441123
classes de rendimento mensal domiciliar per capita;;;;;;
total (3)(4);2.6902624734875458;8.11318824665523;5.584992995815738;5.949340368998812;4.150823021751123;4.893328902055688
sem rendimento a menos ;;;;;;
de 1/4 do salário mínimo (3)(5);6.664449992198526;22.837668570115994;13.326748550966125;16.09797721827423;9.335772229013148;12.023037211973582
1/4 a menos de 1/2 salário mínimo (3);5.105816842551715;15.994570019453889;12.056231201523653;13.211254175023633;7.797500682292634;8.980587286451305
1/2 a menos de 1 salário mínimo (3);4.528945762894009;16.328047535486622;9.223858554008485;10.794472511949438;7.54854769188175;7.958668217896354
1 a menos de 2 salários mínimos (3) ;5.0789351938827405;16.53057859186484;11.59495552015678;12.978538146951108;9.021876214170069;8.927946120143638
2 salários mínimos ou mais (3) ;7.232548959101454;20.60488064710036;14.781933262092048;15.48063242787498;14.797919980099246;13.597488824356287
fonte: ibge, diretoria de pesquisas, coordenação de trabalho e rendimento, pesquisa nacional por amostra de domicílios 2009.;;;;;;
(1) inclusive as pessoas de cor ou raça amarela, indígena ou sem declaração. (2) inclusive as pessoas com nível de instrução não determinado. (3) ex-;;;;;;
