;coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que foram vítimas de agressão física, no período de referência de 365 dias (%);coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que foram vítimas de agressão física, no período de referência de 365 dias (%);coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que foram vítimas de agressão física, no período de referência de 365 dias (%);coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que foram vítimas de agressão física, no período de referência de 365 dias (%)
;total;local de ocorrência da última agressão física;local de ocorrência da última agressão física.1;local de ocorrência da última agressão física.2
total (1)(2);0.0;2.7390401979237455;1.6970891326897253;2.714894653093435
sexo;;;;
homens;0.0;5.364808877688776;1.8887173474095948;3.1771485485436917
mulheres;0.0;2.68855898636833;3.132670958207936;4.7855771858205065
cor ou raça;;;;
branca;0.0;4.2463344791112165;2.685232268488747;4.117613894254506
preta ou parda;0.0;3.524500651107561;2.0658959421788192;3.5286044786364426
preta;0.0;7.745910386349123;4.608419192548403;8.628497752161014
parda;0.0;4.080265081874791;2.296233555888094;3.8460342508263015
grupos de idade;;;;
10 a 24 anos;0.0;6.239569563532577;2.4366138589111546;3.338698965054338
25 a 34 anos;0.0;4.63484208493075;3.1031149296173286;6.257452730651352
35 a 39 anos;0.0;7.457685099687388;5.773983250399212;8.447558367302292
40 a 49 anos;0.0;5.288253381902845;4.530839547117995;8.234259155537561
50 anos ou mais;0.0;5.515178753097761;4.330206285504793;8.755590707125139
nível de instrução;;;;
sem instrução;0.0;6.549272178500729;5.646065968886455;10.74436466337572
fundamental incompleto ou equivalente;0.0;4.240360918346912;2.5127006708646396;3.5207118771130745
fundamental completo ou equivalente;0.0;7.939816303451567;4.287149978432586;7.980834283999507
médio incompleto ou equivalente;0.0;10.492814549997336;4.782500841853767;8.535826795341839
médio completo ou equivalente;0.0;6.114933298671247;3.624223276468203;6.650102062721331
superior incompleto ou equivalente;0.0;16.277993956438678;7.666696745585303;14.705578575764168
superior completo ou equivalente;0.0;13.890947954188777;6.799069282177181;13.538102123764787
classes de rendimento mensal domiciliar per capita;;;;
total (3)(4);0.0;2.7478080697103064;1.7069157980124854;2.729990766636668
sem rendimento a menos ;;;;
de 1/4 do salário mínimo (3)(5);0.0;5.760809510152359;4.318023929013086;7.476221291872592
1/4 a menos de 1/2 salário mínimo (3);0.0;5.1422829074691805;3.6981398699376826;6.812539149411448
1/2 a menos de 1 salário mínimo (3);0.0;5.233066592369522;3.2180682585521883;4.705088836630633
1 a menos de 2 salários mínimos (3) ;0.0;6.248927807359437;3.326020547347932;5.130574167200448
2 salários mínimos ou mais (3) ;0.0;10.258435203946204;4.556374923787196;7.734228116110526
fonte: ibge, diretoria de pesquisas, coordenação de trabalho e rendimento, pesquisa nacional por amostra de domicílios 2009.;;;;
(1) inclusive as pessoas de cor ou raça amarela, indígena ou sem declaração. (2) inclusive as pessoas com nível de instrução não determinado. (3) ex-;;;;
