;"Total
(1)";Classes de rendimento mensal domiciliar per capita (salário mínimo);Classes de rendimento mensal domiciliar per capita (salário mínimo);Classes de rendimento mensal domiciliar per capita (salário mínimo);Classes de rendimento mensal domiciliar per capita (salário mínimo);Classes de rendimento mensal domiciliar per capita (salário mínimo);Classes de rendimento mensal domiciliar per capita (salário mínimo)
;;"Menos
de 1/4 ";"1/4 a menos
de 1/2 ";"1/2 a menos
de 1 ";"1 a menos
de 2";2 ou mais ;"Sem
rendimento
(2)"
               Brasil;0.0;4.48;2.73;1.74;1.63;2.05;9.54
Situação do domicílio;;;;;;;
Urbana;0.0;4.83;2.9;1.83;1.67;2.08;10.35
Rural;0.0;9.63;7.49;5.18;7.0;9.91;23.26
Grandes Regiões e Unidades da Federação;;;;;;;
Norte;0.0;10.02;4.79;3.28;4.12;5.65;23.78
Rondônia;0.0;29.19;15.25;7.76;8.59;15.23;43.14
Acre;0.0;30.17;19.84;14.61;12.15;18.97;50.91
Amazonas;0.0;22.25;16.08;10.12;10.69;19.47;51.59
Roraima;0.0;33.06;22.71;16.14;17.31;23.39;93.0
Pará;0.0;13.31;5.98;4.36;6.2;8.48;38.46
Amapá;0.0;39.95;19.5;11.72;17.02;20.8;71.26
Tocantins;0.0;18.57;19.2;14.34;8.9;11.35;
Nordeste;0.0;5.69;3.86;2.8;3.36;4.96;14.91
Maranhão;0.0;23.56;16.11;11.1;12.4;19.59;35.83
Piauí;0.0;27.82;26.92;13.02;11.41;26.71;100.59
Ceará;0.0;9.9;6.37;5.03;6.66;9.33;45.81
Rio Grande do Norte;0.0;29.21;17.8;11.22;14.56;19.1;58.08
Paraíba;0.0;19.5;14.65;13.39;14.09;29.41;69.71
Pernambuco;0.0;10.97;7.74;7.05;7.38;10.84;27.84
Alagoas;0.0;28.85;16.76;16.72;20.14;27.02;55.11
Sergipe;0.0;25.61;10.6;7.55;12.75;21.07;98.25
Bahia;0.0;11.13;7.37;5.61;6.19;8.16;28.29
Sudeste;0.0;12.19;6.26;3.66;2.86;2.94;18.81
Minas Gerais;0.0;20.74;9.23;5.7;4.88;5.94;37.41
Espírito Santo;0.0;30.98;19.21;15.02;10.05;12.01;71.66
Rio de Janeiro;0.0;28.17;13.38;6.88;6.24;5.68;34.83
São Paulo;0.0;18.48;10.16;5.84;4.08;4.05;27.55
Sul;0.0;15.32;9.34;4.55;3.18;3.8;24.47
Paraná;0.0;25.75;14.7;6.93;5.37;5.9;36.8
Santa Catarina;0.0;49.91;32.93;10.56;6.7;7.76;66.14
Rio Grande do Sul;0.0;19.77;11.7;7.2;4.38;5.85;35.23
Centro-Oeste;0.0;15.24;7.23;4.26;3.85;5.28;22.99
Mato Grosso do Sul;0.0;36.82;20.19;9.43;8.72;12.18;67.02
Mato Grosso;0.0;35.03;20.76;9.73;8.47;12.42;60.09
Goiás;0.0;21.56;9.55;6.32;5.82;9.35;35.94
Distrito Federal;0.0;27.22;15.77;9.64;8.21;7.53;35.87
Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2009.;;;;;;;
