;unnamed: 1_level_0;sem instrução;fundamental ou equivalente;fundamental ou equivalente;médio ou equivalente;médio ou equivalente;superior ou equivalente;superior ou equivalente
;total;unnamed: 2_level_1;incompleto;completo;incompleto;completo;incompleto;completo
               brasil;0.0;3.7;1.48;2.49;2.7;1.44;3.01;2.96
urbana;0.0;4.07;1.56;2.56;2.76;1.42;3.03;2.95
rural;0.0;7.7;3.63;10.87;13.29;9.06;26.11;22.04
norte;0.0;9.66;3.62;5.73;5.52;3.75;7.48;8.18
rondônia;0.0;14.64;7.05;15.16;17.01;9.11;16.83;24.69
acre;0.0;20.73;14.43;23.37;25.42;8.96;27.65;21.7
amazonas;0.0;28.15;8.47;19.51;19.25;9.37;22.35;31.72
roraima;0.0;38.11;15.86;18.69;23.82;7.93;32.32;29.57
pará;0.0;16.08;5.07;7.86;6.77;5.76;12.07;12.48
amapá;0.0;87.68;11.7;15.92;18.51;10.67;18.21;30.89
tocantins;0.0;21.42;12.74;26.82;34.38;12.4;17.15;15.02
nordeste;0.0;5.73;2.45;4.69;4.39;2.78;5.98;5.91
maranhão;0.0;22.65;9.04;19.18;17.92;12.38;30.26;26.88
piauí;0.0;16.62;10.89;21.97;25.77;17.75;30.19;25.81
ceará;0.0;14.78;4.86;5.89;7.54;5.03;11.44;11.78
rio grande do norte;0.0;18.4;11.36;18.7;15.89;9.43;19.92;28.43
paraíba;0.0;18.71;12.12;21.05;16.69;14.25;32.06;29.34
pernambuco;0.0;13.7;6.96;10.75;11.0;4.95;12.57;10.26
alagoas;0.0;24.39;12.38;23.08;27.01;19.22;30.96;25.37
sergipe;0.0;22.9;7.63;19.25;14.9;19.64;20.45;24.28
bahia;0.0;11.12;3.96;9.48;8.1;4.64;11.56;10.08
sudeste;0.0;7.51;2.95;4.4;5.5;2.45;4.97;4.35
minas gerais;0.0;12.91;4.91;8.1;9.59;5.13;10.29;9.49
espírito santo;0.0;24.13;11.62;15.39;20.69;11.56;23.11;20.45
rio de janeiro;0.0;16.76;5.92;8.21;10.16;4.71;9.24;7.69
são paulo;0.0;10.84;4.45;6.59;8.25;3.46;7.19;5.91
sul;0.0;10.74;3.65;6.02;6.94;3.5;6.83;6.7
paraná;0.0;17.24;6.18;9.3;11.34;5.47;11.73;9.14
santa catarina;0.0;15.21;9.01;18.55;21.58;9.68;22.12;19.51
rio grande do sul;0.0;21.32;4.77;8.2;7.94;4.99;8.81;9.77
centro-oeste;0.0;9.33;3.29;6.42;6.36;3.95;8.6;7.26
mato grosso do sul;0.0;26.4;9.42;20.96;20.9;9.66;25.81;20.64
mato grosso;0.0;29.41;7.64;18.88;16.39;9.42;16.84;16.13
goiás;0.0;11.03;4.53;8.81;9.4;6.82;14.62;12.06
distrito federal;0.0;28.38;7.07;11.8;10.31;5.34;13.02;11.65
