;total;economicamente ativas;condição de ocupação na semana de referência(ocupadas);condição de ocupação na semana de referência(desocupadascupadas);não economicamente ativas
               brasil;1.45;1.48;1.49;3.39;2.22
urbana;1.53;1.57;1.58;3.47;2.29
rural;6.03;6.15;6.0;22.72;9.43
norte;4.97;4.95;4.77;10.61;6.65
rondônia;9.23;9.95;10.38;23.64;12.28
acre;16.39;19.1;19.25;38.53;17.23
amazonas;11.67;11.5;11.19;22.52;16.58
roraima;11.46;12.64;13.34;25.81;15.41
pará;7.69;7.38;6.98;16.06;10.91
amapá;16.65;18.75;19.01;28.39;18.81
tocantins;13.44;15.2;16.33;27.56;13.32
nordeste;2.72;2.73;2.79;5.27;3.93
maranhão;15.26;13.54;13.44;22.91;22.4
piauí;14.58;15.27;15.24;32.28;21.93
ceará;4.62;4.81;5.0;8.98;6.44
rio grande do norte;7.33;8.04;8.73;15.9;11.59
paraíba;9.75;9.54;9.63;27.45;14.96
pernambuco;5.39;6.02;6.27;11.31;7.23
alagoas;13.17;13.52;13.18;33.32;16.82
sergipe;7.52;8.11;9.34;16.01;10.23
bahia;5.27;5.51;5.56;10.73;7.24
sudeste;2.53;2.62;2.63;6.32;3.99
minas gerais;4.66;5.3;5.47;11.31;6.41
espírito santo;8.94;9.22;9.69;25.04;15.73
rio de janeiro;4.48;4.76;4.76;14.37;7.14
são paulo;3.77;3.81;3.81;8.79;6.02
sul;3.32;3.28;3.35;8.83;5.61
paraná;4.5;4.76;4.83;13.63;7.39
santa catarina;11.47;11.02;10.97;36.8;18.92
rio grande do sul;4.74;4.41;4.56;11.5;8.49
centro-oeste;3.39;3.53;3.5;8.49;5.36
mato grosso do sul;15.62;15.84;14.93;33.87;20.19
mato grosso;6.64;7.18;7.03;26.65;10.74
goiás;5.08;5.2;5.22;11.74;8.95
