;"Total
(1)";Sexo;Sexo;Cor ou raça;Cor ou raça;Cor ou raça;Cor ou raça
;;homens;mulheres;branca;preta/parda;preta;parda
               Brasil;0.0;0.73;0.83;1.13;1.24;3.06;1.36
Situação do domicílio;;;;;;;
Urbana;0.0;0.77;0.85;1.14;1.29;3.17;1.42
Rural;0.0;1.96;4.1;5.25;3.77;12.26;4.37
Grandes Regiões e Unidades da Federação;;;;;;;
Norte;0.0;1.86;2.05;4.14;1.58;8.22;1.94
Rondônia;0.0;4.65;4.92;8.37;4.35;15.98;5.06
Acre;0.0;5.84;6.35;8.18;3.59;22.74;5.0
Amazonas;0.0;6.85;6.29;10.18;4.36;43.85;4.11
Roraima;0.0;8.56;7.7;17.11;7.09;28.1;8.9
Pará;0.0;2.59;2.91;6.68;2.26;12.09;2.8
Amapá;0.0;5.9;9.11;14.05;5.83;24.71;6.31
Tocantins;0.0;4.4;5.21;9.73;4.08;22.66;4.7
Nordeste;0.0;1.36;1.48;2.85;1.39;4.59;1.58
Maranhão;0.0;6.06;5.44;18.14;5.62;16.28;6.23
Piauí;0.0;7.39;9.52;11.07;4.88;23.38;5.83
Ceará;0.0;2.17;2.57;5.35;2.64;14.8;3.02
Rio Grande do Norte;0.0;4.2;4.26;7.71;5.59;17.56;5.97
Paraíba;0.0;7.13;7.43;8.16;6.59;27.66;7.34
Pernambuco;0.0;3.46;3.68;4.6;3.13;11.67;3.67
Alagoas;0.0;5.78;6.7;11.74;6.98;29.71;7.66
Sergipe;0.0;4.6;6.51;12.02;5.53;20.52;5.58
Bahia;0.0;2.67;2.81;6.14;2.12;5.99;2.88
Sudeste;0.0;1.33;1.48;1.53;2.58;5.79;2.85
Minas Gerais;0.0;2.64;3.0;3.61;3.32;9.82;3.79
Espírito Santo;0.0;6.5;5.97;7.89;6.91;18.31;7.94
Rio de Janeiro;0.0;2.53;2.83;2.93;4.52;9.89;5.39
São Paulo;0.0;1.9;2.13;1.91;4.28;9.9;4.67
Sul;0.0;1.68;2.24;1.12;4.66;9.79;5.41
Paraná;0.0;2.36;3.15;1.81;6.4;20.99;6.87
Santa Catarina;0.0;4.07;6.87;2.52;12.29;32.66;12.89
Rio Grande do Sul;0.0;2.84;3.43;1.64;7.91;10.59;11.16
Centro-Oeste;0.0;1.92;2.2;2.95;2.03;7.37;2.34
Mato Grosso do Sul;0.0;4.79;7.16;9.44;6.37;25.22;7.44
Mato Grosso;0.0;4.55;4.64;8.05;5.83;15.74;7.66
Goiás;0.0;2.99;3.58;4.1;2.81;11.21;2.89
Distrito Federal;0.0;3.33;3.45;5.27;3.58;12.48;4.46
