;"Total
(1)";Classes de rendimento mensal domiciliar per capita (salário mínimo);Classes de rendimento mensal domiciliar per capita (salário mínimo);Classes de rendimento mensal domiciliar per capita (salário mínimo);Classes de rendimento mensal domiciliar per capita (salário mínimo);Classes de rendimento mensal domiciliar per capita (salário mínimo);Classes de rendimento mensal domiciliar per capita (salário mínimo)
;;"Menos
de 1/4 ";"1/4 a menos
de 1/2 ";"1/2 a menos
de 1 ";"1 a menos
de 2";2 ou mais ;"Sem
rendimento
(2)"
               Brasil;1.45;4.73;3.05;2.26;2.14;2.61;9.57
Situação do domicílio;;;;;;;
Urbana;1.53;5.1;3.25;2.39;2.21;2.67;10.42
Rural;6.04;11.14;9.8;8.4;8.76;11.75;22.91
Grandes Regiões e Unidades da Federação;;;;;;;
Norte;4.98;12.52;7.77;6.15;5.33;6.77;24.2
Rondônia;9.24;32.55;18.75;11.39;12.5;16.75;43.52
Acre;16.45;34.98;31.88;21.38;21.76;18.78;50.59
Amazonas;11.72;25.4;22.93;15.86;14.79;18.87;51.85
Roraima;11.37;35.09;25.77;20.81;19.62;24.81;95.05
Pará;7.68;17.56;10.64;9.18;7.86;10.98;39.33
Amapá;16.65;36.27;24.56;21.42;24.49;29.17;69.8
Tocantins;13.46;22.78;27.04;14.75;16.69;17.99;
Nordeste;2.72;6.37;4.83;3.9;4.45;5.4;15.09
Maranhão;15.28;28.39;25.17;19.86;18.26;20.61;34.85
Piauí;14.68;30.76;30.7;21.25;18.86;28.78;100.08
Ceará;4.56;9.95;8.32;7.44;7.4;10.24;45.93
Rio Grande do Norte;7.4;30.22;18.15;11.96;16.44;22.78;57.72
Paraíba;9.85;22.75;14.69;16.98;18.07;31.24;70.84
Pernambuco;5.39;12.48;9.62;8.42;9.4;12.19;28.71
Alagoas;13.17;28.23;18.22;20.81;26.9;31.71;57.71
Sergipe;7.52;29.33;13.28;11.96;12.42;20.1;98.82
Bahia;5.28;12.87;8.4;7.56;8.94;9.04;28.78
Sudeste;2.53;12.28;6.51;4.45;3.68;4.19;18.73
Minas Gerais;4.67;21.46;11.04;7.84;6.03;7.43;36.62
Espírito Santo;8.88;30.26;19.72;15.08;14.45;17.19;70.61
Rio de Janeiro;4.49;28.9;13.97;8.39;7.12;7.49;35.07
São Paulo;3.77;18.47;10.34;7.01;5.38;6.04;27.42
Sul;3.32;15.77;9.19;5.74;4.77;5.21;24.69
Paraná;4.5;24.73;14.46;8.07;7.0;8.22;36.86
Santa Catarina;11.49;52.2;29.08;15.5;14.51;14.11;69.59
Rio Grande do Sul;4.74;21.83;12.73;9.52;6.52;6.84;35.01
Centro-Oeste;3.39;15.74;7.76;5.56;5.19;5.95;23.78
Mato Grosso do Sul;15.77;47.76;23.71;15.02;19.48;18.04;76.18
Mato Grosso;6.64;35.18;22.82;12.52;10.36;13.41;60.62
Goiás;5.05;21.95;10.13;8.36;7.6;10.35;37.12
Distrito Federal;5.57;27.0;16.23;11.19;10.4;9.32;36.32
Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2009.;;;;;;;
