;unnamed: 1_level_0;empregados;trabalhadores domésticos;conta própria;empregadores;outra
;0.0;0.9;4.573301644997625;2.3470934471175493;4.735582834325167;7.286609709171362
Situação do domicílio;;;;;;
urbana;0.0;0.87;4.75;2.41;4.88;8.1
rural;0.0;7.32;16.53;9.96;20.89;16.46
grandes regiões e unidades da federação;;;;;;
norte;0.0;2.47;9.28;4.86;13.52;15.93
rondônia;0.0;5.92;33.2;14.66;27.54;56.25
acre;0.0;8.3;55.06;17.94;35.2;73.05
amazonas;0.0;6.56;23.11;12.54;43.07;54.52
roraima;0.0;11.21;45.87;17.02;;
pará;0.0;3.24;11.81;6.2;19.04;19.58
amapá;0.0;11.44;31.15;21.93;39.52;64.56
tocantins;0.0;10.52;53.5;21.89;49.11;38.3
nordeste;0.0;1.57;7.18;3.54;8.14;10.76
maranhão;0.0;7.95;34.74;12.23;33.18;29.83
piauí;0.0;8.48;37.84;18.13;58.57;57.64
ceará;0.0;3.06;11.3;7.96;16.28;22.1
rio grande do norte;0.0;6.41;24.67;17.17;26.09;31.08
paraíba;0.0;5.91;19.45;16.36;32.04;47.82
pernambuco;0.0;3.46;14.94;7.45;16.25;24.67
alagoas;0.0;8.22;39.63;17.94;28.8;71.98
sergipe;0.0;9.0;37.63;17.49;72.12;63.81
bahia;0.0;2.45;13.57;6.24;14.85;17.96
sudeste;0.0;1.5;9.79;4.7;8.03;15.7
minas gerais;0.0;3.13;17.47;9.47;15.68;28.61
espírito santo;0.0;5.27;29.79;21.03;32.01;36.53
rio de janeiro;0.0;2.85;15.99;7.99;15.01;36.89
são paulo;0.0;2.16;16.81;7.01;11.79;25.28
sul;0.0;2.45;14.14;6.92;10.77;26.3
paraná;0.0;3.4;23.45;10.98;15.75;40.78
santa catarina;0.0;10.88;49.18;18.64;41.57;97.25
rio grande do sul;0.0;3.51;17.49;9.95;14.28;35.18
centro-oeste;0.0;2.63;11.14;7.23;13.62;20.98
mato grosso do sul;0.0;8.95;30.58;17.74;28.54;39.58
mato grosso;0.0;6.25;41.03;14.71;30.98;28.23
goiás;0.0;4.35;16.81;11.26;23.92;38.58
