;"Total
(1)";Classes de rendimento mensal domiciliar per capita (salário mínimo);Classes de rendimento mensal domiciliar per capita (salário mínimo);Classes de rendimento mensal domiciliar per capita (salário mínimo);Classes de rendimento mensal domiciliar per capita (salário mínimo);Classes de rendimento mensal domiciliar per capita (salário mínimo)
;;"Sem rendimento a 
menos de 1/4 (2)";"1/4 a menos
de 1/2 ";"1/2 a menos
de 1 ";"1 a menos
de 2";2 ou mais 
               Brasil;1.45;4.42;3.3;2.4;2.31;2.81
Situação do domicílio;;;;;;
Urbana;1.5;4.86;3.42;2.48;2.37;2.86
Rural;9.88;15.09;15.76;12.66;15.64;14.57
Grandes Regiões e Unidades da Federação;;;;;;
Norte;3.76;10.74;7.15;5.32;5.59;7.72
Rondônia;10.8;33.45;28.39;16.68;18.87;23.84
Acre;12.42;36.97;30.84;24.43;19.65;25.13
Amazonas;9.15;23.02;17.8;12.82;14.95;20.62
Roraima;16.18;38.42;21.96;28.1;34.5;37.13
Pará;4.92;13.88;8.94;6.91;6.97;10.88
Amapá;19.37;41.49;27.98;23.59;27.5;31.83
Tocantins;15.0;70.4;31.83;17.5;34.12;23.53
Nordeste;2.77;5.62;4.85;4.08;4.38;5.56
Maranhão;16.9;23.83;24.45;21.03;20.61;26.18
Piauí;10.99;33.48;25.46;21.94;22.38;30.13
Ceará;3.85;9.93;7.89;6.73;7.19;10.28
Rio Grande do Norte;7.72;25.87;19.14;12.24;13.22;14.17
Paraíba;11.83;21.03;13.02;12.36;22.56;31.1
Pernambuco;4.92;11.89;9.02;7.21;8.8;12.14
Alagoas;9.3;28.62;22.43;20.39;19.85;29.1
Sergipe;7.33;29.82;18.29;13.06;15.12;24.04
Bahia;4.44;10.65;7.61;6.24;7.63;8.8
Sudeste;2.42;12.65;7.85;4.58;4.01;4.39
Minas Gerais;4.34;22.52;13.01;8.01;7.25;8.51
Espírito Santo;8.56;33.59;23.78;15.62;12.67;17.34
Rio de Janeiro;4.76;23.8;17.21;9.35;7.76;8.32
São Paulo;3.58;20.41;12.23;6.99;6.02;6.29
Sul;3.53;17.5;12.67;6.91;5.37;6.33
Paraná;5.42;26.16;17.37;11.2;7.91;9.99
Santa Catarina;14.81;99.63;55.5;19.24;22.36;20.66
Rio Grande do Sul;4.29;22.28;17.46;9.11;7.0;8.05
Centro-Oeste;3.97;14.65;10.28;7.17;6.3;7.33
Mato Grosso do Sul;13.38;41.91;25.97;23.06;18.7;26.47
Mato Grosso;9.45;40.2;28.0;19.02;12.56;17.33
Goiás;6.5;22.47;16.57;11.14;10.32;12.03
Distrito Federal;6.24;21.5;16.32;12.08;11.71;11.25
Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2009.;;;;;;
