;Unnamed: 1_level_0;Própria residência ou de terceiros;Estabele-cimento comercial;Via pública;Transporte Coletivo;Outro
Brasil;0.0;3.03489937968309;3.6714383331231457;0.7187363508953666;3.9778575844343673;6.529154708500139
Dinheiro, cartão de débito ou crédito, ou cheque;0;4.46;4.2;0.99;4.6;9.8
Telefone celular;0;5.17;5.14;0.82;4.86;8.41
Documentos ou objetos pessoais;0;5.25;7.77;1.14;6.84;14.28
Carro, motocicleta ou bicicleta;0;6.35;12.11;1.7;;22.24
Outro;0;4.39;7.71;2.71;14.37;13.64
Norte;0;5.76;9.29;1.26;10.08;16.79
Dinheiro, cartão de débito ou crédito, ou cheque;0;8.78;11.25;1.99;11.83;25.25
Telefone celular;0;8.91;13.45;1.51;12.63;22.31
Documentos ou objetos pessoais;0;10.52;20.19;2.32;18.12;27.67
Carro, motocicleta ou bicicleta;0;14.09;28.32;2.12;;39.57
Outro;0;8.07;26.22;9.37;29.63;34.14
Nordeste;0;5.52;6.62;0.9;5.69;10.48
Dinheiro, cartão de débito ou crédito, ou cheque;0;8.69;7.88;1.39;6.34;17.08
Telefone celular;0;8.76;8.51;1.0;6.57;13.69
Documentos ou objetos pessoais;0;9.71;12.5;1.59;9.95;23.75
Carro, motocicleta ou bicicleta;0;12.83;24.4;2.05;;30.73
Outro;0;8.01;15.13;3.95;23.01;26.74
Sudeste;0;5.69;6.3;1.44;7.2;12.15
Dinheiro, cartão de débito ou crédito, ou cheque;0;7.77;6.95;1.82;8.29;17.33
Telefone celular;0;9.89;9.0;1.75;8.96;15.34
Documentos ou objetos pessoais;0;9.62;15.56;2.16;11.55;26.18
Carro, motocicleta ou bicicleta;0;9.85;23.98;3.5;;51.83
Outro;0;9.1;12.29;5.43;26.78;21.47
Sul;0;7.44;7.06;2.54;13.17;16.69
Dinheiro, cartão de débito ou crédito, ou cheque;0;11.29;8.48;3.22;15.25;22.05
Telefone celular;0;14.9;12.79;2.84;18.86;20.22
Documentos ou objetos pessoais;0;12.19;16.77;3.65;25.45;34.19
Carro, motocicleta ou bicicleta;0;14.22;23.96;5.98;;47.86
Outro;0;10.13;14.98;6.17;51.46;40.4
Centro-Oeste;0;8.2;10.0;2.54;13.54;15.19
Dinheiro, cartão de débito ou crédito, ou cheque;0;10.62;12.12;3.12;16.76;23.59
Telefone celular;0;12.51;15.07;2.59;18.36;22.88
Documentos ou objetos pessoais;0;12.89;20.97;3.28;29.18;27.35
Carro, motocicleta ou bicicleta;0;14.01;24.41;5.54;;33.87
