;"Total
(1)";Classes de rendimento mensal domiciliar per capita (salário mínimo);Classes de rendimento mensal domiciliar per capita (salário mínimo);Classes de rendimento mensal domiciliar per capita (salário mínimo);Classes de rendimento mensal domiciliar per capita (salário mínimo);Classes de rendimento mensal domiciliar per capita (salário mínimo)
;;"Sem rendimento a 
menos de 1/4 (2)";"1/4 a menos
de 1/2 ";"1/2 a menos
de 1 ";"1 a menos
de 2";2 ou mais 
               Brasil;1.44;4.63;3.26;2.29;2.18;2.43
Situação do domicílio;;;;;;
Urbana;1.38;4.69;3.16;2.28;2.19;2.46
Rural;9.22;14.06;15.3;11.87;15.11;13.3
Grandes Regiões e Unidades da Federação;;;;;;
Norte;3.76;10.05;6.57;5.12;5.38;6.74
Rondônia;10.65;29.96;26.04;16.47;18.39;21.22
Acre;12.34;36.08;29.03;21.44;20.69;18.43
Amazonas;8.98;24.58;17.17;12.87;13.99;19.17
Roraima;16.44;36.08;20.85;25.88;31.9;32.57
Pará;4.95;12.35;7.85;6.64;7.16;9.58
Amapá;19.21;51.63;27.34;20.26;18.5;27.53
Tocantins;14.99;76.47;30.33;15.68;32.43;17.38
Nordeste;2.74;6.25;4.79;3.7;3.61;4.12
Maranhão;16.36;31.76;24.33;16.88;13.74;20.52
Piauí;10.91;35.46;23.45;20.93;18.98;20.44
Ceará;3.83;11.32;7.73;6.35;6.62;8.27
Rio Grande do Norte;7.8;23.13;18.47;11.18;10.71;11.31
Paraíba;11.94;20.35;15.61;11.74;18.4;16.67
Pernambuco;5.03;12.07;9.0;7.54;8.31;9.81
Alagoas;9.06;27.15;21.36;18.05;17.48;23.41
Sergipe;7.32;25.88;17.06;12.73;13.11;20.18
Bahia;4.47;11.12;7.23;6.36;6.6;6.75
Sudeste;2.41;12.35;7.74;4.47;3.85;3.8
Minas Gerais;4.33;22.41;12.9;7.91;6.87;7.8
Espírito Santo;8.65;34.22;23.47;14.0;12.45;15.29
Rio de Janeiro;4.76;22.05;17.65;8.98;7.41;7.1
São Paulo;3.55;19.8;11.86;6.85;5.8;5.41
Sul;3.52;17.85;13.06;6.82;5.3;5.86
Paraná;5.4;26.96;18.07;11.26;7.79;9.12
Santa Catarina;14.73;99.96;54.75;18.03;22.18;18.92
Rio Grande do Sul;4.3;22.49;18.41;8.87;6.9;7.4
Centro-Oeste;3.95;14.35;10.01;6.78;6.18;6.44
Mato Grosso do Sul;13.24;40.48;25.81;22.06;18.37;22.07
Mato Grosso;9.44;40.39;26.94;19.45;12.85;14.77
Goiás;6.45;21.04;16.25;10.46;10.12;10.86
Distrito Federal;6.26;19.42;14.63;10.31;10.57;10.37
Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2009.;;;;;;
