;coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que procuraram a polícia  em decorrência do último roubo que foram vítimas, no período de referência de 365 dias, mas não fizeram registro do último roubo na delegacia de polícia (%);coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que procuraram a polícia  em decorrência do último roubo que foram vítimas, no período de referência de 365 dias, mas não fizeram registro do último roubo na delegacia de polícia (%);coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que procuraram a polícia  em decorrência do último roubo que foram vítimas, no período de referência de 365 dias, mas não fizeram registro do último roubo na delegacia de polícia (%);coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que procuraram a polícia  em decorrência do último roubo que foram vítimas, no período de referência de 365 dias, mas não fizeram registro do último roubo na delegacia de polícia (%);coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que procuraram a polícia  em decorrência do último roubo que foram vítimas, no período de referência de 365 dias, mas não fizeram registro do último roubo na delegacia de polícia (%);coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que procuraram a polícia  em decorrência do último roubo que foram vítimas, no período de referência de 365 dias, mas não fizeram registro do último roubo na delegacia de polícia (%);coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que procuraram a polícia  em decorrência do último roubo que foram vítimas, no período de referência de 365 dias, mas não fizeram registro do último roubo na delegacia de polícia (%)
total (1);0;13.96;11.77;8.12;10.42;9.75;11.5
homens;0;18.61;17.68;10.06;15.56;11.72;14.46
mulheres;0;20.37;15.31;11.96;13.8;15.29;15.37
branca;0;20.48;19.27;12.54;15.43;14.01;15.31
preta ou parda;0;18.6;14.63;10.7;13.55;13.27;14.84
preta;0;50.77;40.37;31.93;41.49;41.46;31.56
parda;0;19.66;15.24;10.95;14.4;13.62;13.94
10 a 24 anos;0;21.84;17.7;13.39;17.75;13.37;17.03
25 a 34 anos;0;31.76;22.95;16.98;20.47;21.11;22.24
35 a 39 anos;0;57.32;43.82;34.45;27.76;35.43;33.01
40 a 49 anos;0;28.57;31.56;19.14;24.25;25.41;26.21
50 anos ou mais;0;35.21;33.27;17.18;30.48;28.11;20.6
total (2)(3);0;14.05;11.77;8.12;10.46;9.79;11.5
sem rendimento a menos de 1/4 do salário mínimo (2) (4) ;0;39.15;53.76;31.78;41.02;28.47;34.84
1/4 a menos de 1/2 salário mínimo (2);0;35.45;30.22;19.45;32.0;24.96;37.13
1/2 a menos de 1 salário mínimo (2);0;25.96;23.41;15.12;18.82;18.12;23.22
1 a menos de 2 salários mínimos (2) ;0;26.95;22.56;16.77;19.53;19.28;18.11
2 salários mínimos ou mais (2) ;0;31.4;20.81;16.01;24.27;19.98;21.68
