;coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência doúltimo roubo que foram vítimas, no período de referência de 365 dias (%);coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência doúltimo roubo que foram vítimas, no período de referência de 365 dias (%);coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência doúltimo roubo que foram vítimas, no período de referência de 365 dias (%);coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência doúltimo roubo que foram vítimas, no período de referência de 365 dias (%);coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência doúltimo roubo que foram vítimas, no período de referência de 365 dias (%);coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência doúltimo roubo que foram vítimas, no período de referência de 365 dias (%)
               brasil;0;4.21;2.64;1.95;2.84;4.62
urbana;0;4.34;2.69;1.98;2.96;4.78
rural;0;15.69;14.97;11.51;10.47;18.16
norte;0;11.11;6.66;3.32;6.73;10.88
rondônia;0;39.61;19.66;16.7;31.88;40.91
acre;0;30.38;30.93;18.1;39.46;47.75
amazonas;0;21.06;17.15;10.65;22.09;51.18
roraima;0;24.41;37.51;31.42;43.06;74.81
pará;0;18.23;8.38;3.58;7.6;12.28
amapá;0;29.71;23.97;17.62;36.38;66.11
tocantins;0;38.77;30.81;22.93;26.98;52.28
nordeste;0;7.12;3.89;3.1;4.04;7.12
maranhão;0;21.33;20.34;16.59;17.33;29.64
piauí;0;58.76;25.63;12.02;18.27;29.8
ceará;0;13.41;7.01;5.41;8.9;17.02
rio grande do norte;0;28.25;15.35;8.73;19.54;34.01
paraíba;0;31.69;14.44;9.23;19.62;23.79
pernambuco;0;14.89;7.53;5.97;7.69;15.93
alagoas;0;43.95;26.14;13.3;18.96;43.43
sergipe;0;23.62;17.45;13.81;22.44;33.83
bahia;0;11.05;6.56;6.22;6.88;11.77
sudeste;0;8.07;5.25;3.95;5.61;8.41
minas gerais;0;15.37;9.59;9.47;12.61;14.54
espírito santo;0;42.86;15.58;13.05;18.17;31.74
rio de janeiro;0;12.97;10.2;6.78;10.23;17.45
são paulo;0;12.74;8.16;5.98;8.45;12.1
sul;0;10.3;7.35;6.73;10.06;10.96
paraná;0;15.8;10.22;9.19;15.11;15.95
santa catarina;0;50.07;25.7;21.35;37.65;34.5
rio grande do sul;0;13.23;11.2;10.88;13.8;16.63
centro-oeste;0;11.96;7.4;5.99;9.71;13.75
mato grosso do sul;0;32.68;25.88;20.87;28.42;26.48
mato grosso;0;35.97;18.59;13.16;22.5;34.77
goiás;0;16.24;12.34;10.86;16.58;22.76
