;coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que procuraram a polícia em decorrência do último roubo que foram vítimas, no período de referência de 365 dias (%);coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que procuraram a polícia em decorrência do último roubo que foram vítimas, no período de referência de 365 dias (%);coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que procuraram a polícia em decorrência do último roubo que foram vítimas, no período de referência de 365 dias (%)
;total;realização do registro do último roubo na delegacia de polícia;realização do registro do último roubo na delegacia de polícia.1
               brasil;1.854205812597778;1.926870240341868;4.994760500025988
situação do domicílio;;;
urbana;1.9351658341916094;2.0000288928823813;5.176755866641304
rural;9.222345787571582;9.901720757927011;22.937066790761378
grandes regiões e unidades da federação;;;
norte;4.41457681721576;4.774793929810458;11.907525420861662
rondônia;12.166886503791922;12.601072025913764;42.808542059671176
acre;14.240924982900863;14.698874388108578;41.54348988958283
amazonas;11.39494386403275;11.87008149422544;29.04683867225778
roraima;17.476484604865803;18.152540314439502;36.415694259029934
pará;5.989840738383144;6.610209856693408;16.041670622391475
amapá;20.824092652176493;21.103527878121685;50.00036703647103
tocantins;18.588147101063043;18.979929295698177;45.10519803645816
nordeste;3.4608711527266607;3.593395638916689;7.950373659434082
maranhão;18.539381779579006;21.26892190308338;27.955730440407397
piauí;15.943805963294423;16.487856426913936;49.936010591164454
ceará;5.3089752357081785;5.526799627744665;10.256845434840871
rio grande do norte;8.907327493451415;9.049887933434016;30.315113370226168
paraíba;17.162283720821325;17.426602652752823;28.941113300276545
pernambuco;7.0260349072537505;7.2079518007623875;17.08980761428511
alagoas;14.157683462755296;16.983024971173183;24.213285876030394
sergipe;10.888245078700756;12.747708616119874;23.860057547835584
bahia;5.418931073496581;5.328658222595028;20.02899700811819
sudeste;3.2349858549316215;3.34908675562989;9.47329916252423
minas gerais;5.4314343064044115;5.734493918954669;18.04986639003449
espírito santo;12.02687882787554;13.140782148091045;29.475661883546604
rio de janeiro;6.585345136628473;6.525921164644962;24.096015376336133
são paulo;4.679070454036739;4.877283736373152;12.81302891514444
sul;4.464429652666604;4.588662441150027;14.666709819956488
paraná;7.506445727751355;7.895215199098749;20.535219567055805
santa catarina;15.43525107969367;15.1998405757552;70.70722453984588
rio grande do sul;5.264247129113112;5.3689595929013985;20.594966065999074
centro-oeste;4.763588810323427;4.798593448890793;14.163266339487214
mato grosso do sul;16.34313891620096;16.666571260120385;42.49947675727574
mato grosso;11.758367039928428;12.27676612181741;35.9944598019538
goiás;7.539023102129907;7.502498495606487;18.885489698051472
