;Unnamed: 1_level_0;Falta de provas;Não era importante;Não acreditavam na polícia;Não queriam envolver a polícia ou medo de represália;Outro
Brasil;0.0;4.212800105155133;2.6350012237333327;1.9518543234119992;2.838887807342168;4.624632123611441
Dinheiro, cartão de débito ou crédito, ou cheque;0;6.11;4.21;2.64;4.02;7.09
Telefone celular;0;6.11;3.5;2.34;3.91;6.42
Documentos ou objetos pessoais;0;9.27;6.16;4.02;6.2;9.18
Carro, motocicleta ou bicicleta;0;12.19;9.94;5.1;8.39;12.34
Outro;0;8.51;6.18;5.34;7.17;10.03
Norte;0;11.11;6.66;3.32;6.73;10.88
Dinheiro, cartão de débito ou crédito, ou cheque;0;16.39;10.16;4.59;8.94;20.39
Telefone celular;0;13.79;8.27;4.19;8.93;19.7
Documentos ou objetos pessoais;0;20.77;13.11;6.39;13.88;27.23
Carro, motocicleta ou bicicleta;0;19.46;17.86;6.76;15.07;19.61
Outro;0;23.72;17.37;10.99;25.11;29.74
Nordeste;0;7.12;3.89;3.1;4.04;7.12
Dinheiro, cartão de débito ou crédito, ou cheque;0;9.33;6.29;4.35;5.7;11.45
Telefone celular;0;10.62;4.97;3.32;5.3;8.76
Documentos ou objetos pessoais;0;15.07;8.04;6.32;8.91;15.96
Carro, motocicleta ou bicicleta;0;20.23;16.69;7.99;12.43;21.32
Outro;0;14.74;9.82;8.8;10.53;16.7
Sudeste;0;8.07;5.25;3.95;5.61;8.41
Dinheiro, cartão de débito ou crédito, ou cheque;0;10.89;8.05;4.82;7.49;11.08
Telefone celular;0;12.04;6.88;4.88;8.07;12.66
Documentos ou objetos pessoais;0;19.58;14.66;8.47;12.24;15.26
Carro, motocicleta ou bicicleta;0;32.59;19.14;15.79;22.31;28.7
Outro;0;16.65;12.64;11.72;14.34;18.47
Sul;0;10.3;7.35;6.73;10.06;10.96
Dinheiro, cartão de débito ou crédito, ou cheque;0;16.0;11.19;8.63;13.63;16.66
Telefone celular;0;14.04;12.51;10.35;16.46;16.34
Documentos ou objetos pessoais;0;21.5;18.59;12.76;20.42;20.45
Carro, motocicleta ou bicicleta;0;33.93;22.54;18.93;39.27;59.75
Outro;0;18.83;14.03;11.73;16.82;20.44
Centro-Oeste;0;11.96;7.4;5.99;9.71;13.75
Dinheiro, cartão de débito ou crédito, ou cheque;0;16.74;11.49;8.16;15.62;25.22
Telefone celular;0;16.57;10.31;8.21;13.93;20.25
Documentos ou objetos pessoais;0;27.42;15.36;13.71;19.58;35.14
Carro, motocicleta ou bicicleta;0;32.82;32.56;18.21;27.41;24.47
