;total;local de ocorrência do último roubo;local de ocorrência do último roubo;local de ocorrência do último roubo;local de ocorrência do último roubo;local de ocorrência do último roubo
;total;própria residênciaou de terceiros;estabelecimento comercial;via pública;transportecoletivo;outro
total (1)(2);1.44;3.44;3.92;1.61;4.14;6.71
homens;1.68;4.21;4.74;1.92;5.5;9.2
mulheres;1.78;4.48;6.0;2.04;5.66;9.3
branca;1.95;4.85;5.42;2.19;6.32;10.03
preta ou parda;1.76;4.49;5.1;1.95;5.23;8.73
preta;3.63;12.89;12.36;4.09;11.66;20.32
parda;1.87;4.67;5.64;2.1;5.63;9.59
10 a 24 anos;2.09;7.37;8.1;2.3;7.36;8.76
25 a 34 anos;2.26;6.81;6.99;2.58;7.19;14.31
35 a 39 anos;3.48;9.22;9.9;4.15;11.31;21.77
40 a 49 anos;2.57;6.6;7.79;3.12;8.58;19.54
50 anos ou mais;2.61;5.57;7.2;3.24;9.37;15.8
sem instrução;4.73;8.64;18.45;6.19;17.45;31.78
fundamental incompleto ou equivalente;2.26;5.61;7.11;2.6;7.83;10.39
fundamental completo ou equivalente;3.25;9.11;9.65;3.81;12.28;20.53
médio incompleto ou equivalente;3.26;10.81;11.87;3.59;12.6;19.45
médio completo ou equivalente;2.08;6.4;6.06;2.4;6.44;12.68
superior incompleto ou equivalente;3.89;12.74;14.81;4.42;13.4;20.68
superior completo ou equivalente;3.85;9.55;11.58;4.34;14.03;25.74
total (3)(4);1.45;3.45;3.92;1.61;4.14;6.75
sem rendimento a menos de 1/4 do salário mínimo (3) (5);4.42;10.61;17.59;4.97;14.71;25.35
1/4 a menos de 1/2 salário mínimo (3);3.3;8.34;11.35;3.69;11.63;16.92
1/2 a menos de 1 salário mínimo (3);2.4;6.04;8.07;2.76;7.18;12.04
1 a menos de 2 salários mínimos (3) ;2.31;6.44;6.72;2.65;7.19;12.51
2 salários mínimos ou mais (3) ;2.81;6.79;7.01;3.15;9.38;13.52
