;Total;Procura pela polícia em decorrência do último roubo;Procura pela polícia em decorrência do último roubo
;;Procuraram ;Não procuraram 
               Brasil;0.0;1.13;1.06
Situação do domicílio;;;
Urbana;0.0;1.15;1.08
Rural;0.0;5.58;4.9
Grandes Regiões e Unidades da Federação;;;
Norte;0.0;2.88;2.17
Rondônia;0.0;5.9;10.86
Acre;0.0;8.07;11.2
Amazonas;0.0;7.03;4.88
Roraima;0.0;10.41;12.11
Pará;0.0;4.04;2.7
Amapá;0.0;9.03;7.05
Tocantins;0.0;10.42;10.42
Nordeste;0.0;2.05;1.39
Maranhão;0.0;9.47;6.9
Piauí;0.0;11.18;8.06
Ceará;0.0;3.56;2.36
Rio Grande do Norte;0.0;8.35;6.79
Paraíba;0.0;8.95;5.55
Pernambuco;0.0;4.09;2.93
Alagoas;0.0;8.87;5.36
Sergipe;0.0;8.6;4.78
Bahia;0.0;3.41;2.23
Sudeste;0.0;1.92;2.17
Minas Gerais;0.0;3.2;4.14
Espírito Santo;0.0;9.26;5.52
Rio de Janeiro;0.0;4.33;3.7
São Paulo;0.0;2.64;3.41
Sul;0.0;2.6;3.44
Paraná;0.0;4.47;4.85
Santa Catarina;0.0;7.87;15.53
Rio Grande do Sul;0.0;3.27;4.95
Centro-Oeste;0.0;2.69;3.38
Mato Grosso do Sul;0.0;8.61;12.84
Mato Grosso;0.0;6.86;9.2
Goiás;0.0;4.02;5.12
