;coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que procuraram a polícia em decorrência do último roubo que foram vítimas, no período de referência de 365 dias (%);coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que procuraram a polícia em decorrência do último roubo que foram vítimas, no período de referência de 365 dias (%);coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que procuraram a polícia em decorrência do último roubo que foram vítimas, no período de referência de 365 dias (%)
               brasil;1.85;1.93;4.99
urbana;1.94;2.0;5.18
rural;9.22;9.9;22.94
norte;4.41;4.77;11.91
rondônia;12.17;12.6;42.81
acre;14.24;14.7;41.54
amazonas;11.39;11.87;29.05
roraima;17.48;18.15;36.42
pará;5.99;6.61;16.04
amapá;20.82;21.1;50.0
tocantins;18.59;18.98;45.11
nordeste;3.46;3.59;7.95
maranhão;18.54;21.27;27.96
piauí;15.94;16.49;49.94
ceará;5.31;5.53;10.26
rio grande do norte;8.91;9.05;30.32
paraíba;17.16;17.43;28.94
pernambuco;7.03;7.21;17.09
alagoas;14.16;16.98;24.21
sergipe;10.89;12.75;23.86
bahia;5.42;5.33;20.03
sudeste;3.23;3.35;9.47
minas gerais;5.43;5.73;18.05
espírito santo;12.03;13.14;29.48
rio de janeiro;6.59;6.53;24.1
são paulo;4.68;4.88;12.81
sul;4.46;4.59;14.67
paraná;7.51;7.9;20.54
santa catarina;15.44;15.2;70.71
rio grande do sul;5.26;5.37;20.59
centro-oeste;4.76;4.8;14.16
mato grosso do sul;16.34;16.67;42.5
mato grosso;11.76;12.28;35.99
goiás;7.54;7.5;18.89
