;unnamed: 1_level_0;economicamente ativas;economicamente ativas;economicamente ativas;não economicamente ativas
;total;total;condição de ocupação na semana de referência;condição de ocupação na semana de referência.1;total
               brasil;0.0;0.5417482706785123;0.6707222867803901;3.3083067517631815;1.813522960503274
urbana;0.0;0.5613920255536881;0.693069135597537;3.3358840562711447;1.8562832601574182
rural;0.0;2.1251036634937197;2.6395652747009284;22.04001221269484;9.493591893088086
norte;0.0;1.0733119916305087;1.4314502513269487;6.356131179418925;3.280307125599336
rondônia;0.0;3.971474624617351;5.196255555925475;33.54470416273193;11.588156690496248
acre;0.0;5.813782155188518;6.281205206359146;37.40427618939475;22.911816217785432
amazonas;0.0;3.40104575941056;4.595737684759133;15.916269795341004;9.725943420506395
roraima;0.0;7.408426818689594;7.739880085632082;36.90088040555445;15.552688558673108
pará;0.0;1.2175731717079212;1.6645129603383733;7.806219359523851;3.8339065047288896
amapá;0.0;5.300357278253804;7.772824871324134;24.76658769243353;12.328524661631208
tocantins;0.0;5.919529813400797;6.403450508652802;33.44077038536856;24.722742161850388
nordeste;0.0;0.8709989731968052;1.128884440647534;4.896263553490742;2.7960446609568015
maranhão;0.0;3.5382669094443258;4.866290295455959;25.513988773665567;10.498791977203654
piauí;0.0;3.184085181401212;4.33580407378902;20.874424884462957;14.94070738965184
ceará;0.0;1.4728053798658602;1.9317996488164337;8.556880544096154;4.887849485448831
rio grande do norte;0.0;3.531660535462171;4.8477061326170885;14.045033680218552;10.4555739536709
paraíba;0.0;5.162192713346876;5.293751848869414;20.845481657862898;11.860752305666033
pernambuco;0.0;1.7570240833386526;2.4510810019106475;10.47802145642595;5.253634248041876
alagoas;0.0;5.0271311201371445;7.547983521225901;26.885687623192492;10.634315831059345
sergipe;0.0;4.971640775142352;6.864254870322214;18.89142189522205;11.405528837091277
bahia;0.0;1.2843873390751954;1.6739837651703058;7.579336370220597;5.619381713397531
sudeste;0.0;1.0138661300594398;1.2240720340419822;6.701378080494357;3.595868562961575
minas gerais;0.0;2.0254052079730793;2.4580384924176264;12.570877374318993;7.1252708438532375
espírito santo;0.0;3.4974577368892197;4.24265245563042;21.91104442651091;12.24110207911227
rio de janeiro;0.0;2.190188994361788;2.49789135902673;13.671525972384483;6.5400956469950415
são paulo;0.0;1.4171936671498286;1.7506890939833126;9.496869949090518;5.445109504259943
sul;0.0;1.6245588703144633;1.9190859839146488;11.070948396962864;5.32900041064999
paraná;0.0;2.3581002310382857;2.85339638369169;16.92162783756264;8.4891355351927
santa catarina;0.0;7.516463755238434;7.995028577740057;55.658364202175825;19.292256971778645
rio grande do sul;0.0;2.05616476378889;2.507182005903824;13.888330033071336;6.4855317526542935
centro-oeste;0.0;1.5021318343158705;1.6760339855312414;9.592308121207592;5.327119880466271
mato grosso do sul;0.0;4.465966933130757;5.277164906662377;23.500809962422977;13.062953279407466
mato grosso;0.0;4.315190217221306;4.59304552551932;29.601538197039563;15.411393632933233
goiás;0.0;2.1246477575012768;2.2699156980055903;17.412891186936974;10.005608625442058
