;total;própria residência ou de terceiros;estabele-cimento comercial;via pública;transporte coletivo;outro
brasil (1);0;3.03;3.67;0.72;3.98;6.53
sem instrução;0;7.46;17.77;4.04;16.63;30.97
fundamental incompleto ou equivalente;0;5.07;6.91;1.27;7.51;10.07
fundamental completo ou equivalente;0;8.34;9.17;2.07;11.87;20.21
médio incompleto ou equivalente;0;10.21;11.46;1.66;12.17;18.87
médio completo ou equivalente;0;5.85;5.69;1.27;6.26;12.55
superior incompleto ou equivalente;0;12.04;14.23;2.11;12.97;20.33
superior completo ou equivalente;0;8.6;10.61;2.35;13.76;25.19
norte (1);0;5.76;9.29;1.26;10.08;16.79
sem instrução;0;14.28;47.05;8.03;38.51;70.08
fundamental incompleto ou equivalente;0;7.68;17.3;2.2;19.98;25.4
fundamental completo ou equivalente;0;18.34;20.9;4.27;28.2;37.89
médio incompleto ou equivalente;0;18.6;35.26;3.08;26.82;45.57
médio completo ou equivalente;0;14.49;17.2;2.54;15.95;39.64
superior incompleto ou equivalente;0;22.83;37.21;4.69;44.89;60.25
superior completo ou equivalente;0;17.13;31.33;6.93;41.18;53.36
nordeste (1);0;5.52;6.62;0.9;5.69;10.48
sem instrução;0;12.5;27.81;5.12;25.85;43.18
fundamental incompleto ou equivalente;0;9.42;12.82;1.71;10.41;17.52
fundamental completo ou equivalente;0;17.53;20.02;2.8;18.61;56.38
médio incompleto ou equivalente;0;18.26;20.0;2.24;16.58;31.21
médio completo ou equivalente;0;9.94;9.85;1.69;8.93;18.92
superior incompleto ou equivalente;0;31.97;25.84;2.45;19.49;43.39
superior completo ou equivalente;0;17.52;19.84;3.6;19.55;47.46
sudeste (1);0;5.69;6.3;1.44;7.2;12.15
sem instrução;0;16.66;28.19;10.22;29.28;99.78
fundamental incompleto ou equivalente;0;11.17;13.83;2.7;14.99;18.34
fundamental completo ou equivalente;0;13.87;14.7;3.98;19.01;41.15
médio incompleto ou equivalente;0;22.42;19.94;4.04;19.02;33.81
médio completo ou equivalente;0;9.92;9.27;2.52;11.97;25.06
superior incompleto ou equivalente;0;18.47;23.82;3.79;19.09;32.2
superior completo ou equivalente;0;14.45;16.47;3.63;21.89;35.69
sul (1);0;7.44;7.06;2.54;13.17;16.69
sem instrução;0;21.35;55.45;17.2;43.67;65.62
fundamental incompleto ou equivalente;0;12.36;12.47;5.33;29.75;25.84
fundamental completo ou equivalente;0;22.64;16.5;6.39;35.94;41.49
médio incompleto ou equivalente;0;30.57;25.71;4.17;50.64;
médio completo ou equivalente;0;13.48;12.03;4.12;22.06;29.39
superior incompleto ou equivalente;0;21.85;32.21;6.37;46.35;37.31
superior completo ou equivalente;0;17.03;28.19;6.59;54.61;58.26
centro-oeste (1);0;8.2;10.0;2.54;13.54;15.19
sem instrução;0;16.81;67.56;14.24;;97.2
fundamental incompleto ou equivalente;0;12.85;17.53;4.33;21.77;26.41
fundamental completo ou equivalente;0;17.54;29.06;7.22;99.81;40.12
médio incompleto ou equivalente;0;27.08;30.4;4.46;38.13;35.14
médio completo ou equivalente;0;15.74;16.84;4.0;20.48;42.56
superior incompleto ou equivalente;0;40.01;27.07;6.46;58.88;43.99
superior completo ou equivalente;0;18.38;24.01;7.81;58.97;44.4
