;coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que procuraram a polícia em decorrência do último roubo que foram vítimas, no período de referência de 365 dias (%);coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que procuraram a polícia em decorrência do último roubo que foram vítimas, no período de referência de 365 dias (%);coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que procuraram a polícia em decorrência do último roubo que foram vítimas, no período de referência de 365 dias (%)
               brasil;0;0.51;4.65
urbana;0;0.52;4.78
rural;0;2.28;22.77
norte;0;1.19;11.89
rondônia;0;1.81;43.17
acre;0;4.48;38.28
amazonas;0;2.35;27.93
roraima;0;4.61;32.26
pará;0;1.74;16.33
amapá;0;4.52;44.5
tocantins;0;7.29;38.54
nordeste;0;1.16;6.98
maranhão;0;7.57;24.59
piauí;0;3.33;48.31
ceará;0;2.19;8.24
rio grande do norte;0;2.98;27.94
paraíba;0;3.74;22.67
pernambuco;0;1.45;15.75
alagoas;0;7.69;21.61
sergipe;0;4.62;23.82
bahia;0;1.94;18.1
sudeste;0;0.8;8.98
minas gerais;0;1.35;17.81
espírito santo;0;5.37;26.84
rio de janeiro;0;1.65;22.14
são paulo;0;1.13;12.21
sul;0;1.07;13.96
paraná;0;2.06;19.54
santa catarina;0;1.92;66.22
rio grande do sul;0;1.23;19.75
centro-oeste;0;1.29;12.83
mato grosso do sul;0;4.08;38.51
mato grosso;0;3.41;34.14
goiás;0;2.27;16.1
