;"Dinheiro,
cartão de débito
ou crédito, ou cheque";Telefone celular;"Documentos
ou objetos pessoais";"Carro, motocicleta
ou bicicleta";Outro
               Brasil;1.6565768468622224;1.6493399255684351;2.1380997217595894;3.288270896203815;3.02712978026642
Situação do domicílio;;;;;
Urbana;1.73;1.68;2.2;3.43;3.16
Rural;10.13;14.21;14.62;13.81;11.84
Grandes Regiões e Unidades da Federação;;;;;
Norte;4.04;3.92;5.38;7.05;8.86
Rondônia;13.97;14.68;17.58;14.13;28.73
Acre;15.98;18.61;24.22;23.76;20.9
Amazonas;9.82;9.66;14.28;27.07;22.36
Roraima;22.56;27.61;27.94;19.13;24.68
Pará;5.05;4.87;6.65;9.05;12.62
Amapá;24.42;17.87;22.3;24.95;54.28
Tocantins;20.0;19.9;34.8;30.84;27.47
Nordeste;2.92;2.77;3.67;6.57;5.59
Maranhão;16.03;17.98;22.46;31.6;21.67
Piauí;16.4;10.27;20.99;26.73;25.83
Ceará;4.64;4.17;6.44;7.95;10.24
Rio Grande do Norte;10.21;8.52;11.25;17.81;15.33
Paraíba;11.68;13.9;14.2;25.64;24.76
Pernambuco;5.35;5.3;6.4;10.99;9.58
Alagoas;13.49;12.09;16.1;26.74;22.62
Sergipe;13.06;10.6;13.11;18.07;20.06
Bahia;5.43;4.61;6.25;13.45;9.48
Sudeste;2.88;3.03;3.86;5.72;5.59
Minas Gerais;5.24;5.39;6.92;13.53;12.05
Espírito Santo;9.37;10.08;16.04;20.45;20.99
Rio de Janeiro;5.59;5.4;6.81;10.32;12.51
São Paulo;4.22;4.75;5.82;7.67;7.57
Sul;4.15;4.25;5.38;7.92;6.62
Paraná;6.24;6.66;9.12;12.64;8.88
Santa Catarina;18.98;15.86;19.04;28.38;24.06
Rio Grande do Sul;5.38;5.78;6.52;10.12;10.32
Centro-Oeste;4.82;4.76;5.91;7.63;8.22
Mato Grosso do Sul;17.18;14.01;22.98;24.27;23.0
Mato Grosso;11.62;10.47;13.78;20.27;18.46
Goiás;7.81;8.52;9.46;11.79;12.59
