;coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que procuraram a polícia em decorrência do último roubo que foram vítimas, no período de referência de 365 dias, mas não fizeram registro do último roubo na delegacia de polícia (%);coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que procuraram a polícia em decorrência do último roubo que foram vítimas, no período de referência de 365 dias, mas não fizeram registro do último roubo na delegacia de polícia (%);coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que procuraram a polícia em decorrência do último roubo que foram vítimas, no período de referência de 365 dias, mas não fizeram registro do último roubo na delegacia de polícia (%);coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que procuraram a polícia em decorrência do último roubo que foram vítimas, no período de referência de 365 dias, mas não fizeram registro do último roubo na delegacia de polícia (%);coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que procuraram a polícia em decorrência do último roubo que foram vítimas, no período de referência de 365 dias, mas não fizeram registro do último roubo na delegacia de polícia (%);coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que procuraram a polícia em decorrência do último roubo que foram vítimas, no período de referência de 365 dias, mas não fizeram registro do último roubo na delegacia de polícia (%);coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que procuraram a polícia em decorrência do último roubo que foram vítimas, no período de referência de 365 dias, mas não fizeram registro do último roubo na delegacia de polícia (%)
;total;motivo de não terem feito o registro do último roubo na delegacia de polícia;motivo de não terem feito o registro do último roubo na delegacia de polícia.1;motivo de não terem feito o registro do último roubo na delegacia de polícia.2;motivo de não terem feito o registro do último roubo na delegacia de polícia.3;motivo de não terem feito o registro do último roubo na delegacia de polícia.4;motivo de não terem feito o registro do último roubo na delegacia de polícia.5
total (1);4.994760500025988;14.332607382713203;12.309330433146133;9.284608374188766;11.222163579962393;11.203856189770637;13.386547540339864
sexo;;;;;;;
homens;6.43797976978476;19.524445603098755;18.125192231704983;11.426866389819216;16.982557289217798;13.639244608271138;16.539939441418912
mulheres;6.782249228747215;21.05902258361437;16.384817998013922;13.860677462307669;14.699298254960295;17.001086564292134;17.505479909300604
cor ou raça;;;;;;;
branca;7.362863091850729;21.323521506621173;20.402970677912133;14.659497026880313;17.02402443408327;16.131153028547608;17.064374220455512
preta ou parda;6.578131754360788;19.235010652787526;15.215382186884018;11.79670701927577;14.718675326822673;15.091418662717345;17.614176700339105
preta;17.70648517608936;54.60404709834871;44.109364030325885;34.26767884866213;43.442564977828916;42.524195359309445;39.255432837191904
parda;6.60234921491157;20.1266171956218;15.881429979947782;12.401665828722528;15.57034407266527;15.994106102284944;15.979830612599109
grupos de idade;;;;;;;
10 a 24 anos;7.49423793017351;22.534137281376886;18.545363702868265;15.67876010593298;19.432025211389984;14.943791757940238;19.264652625615046
25 a 34 anos;9.556985213871382;32.650235786088004;24.116958719635008;18.9663534749024;21.568690367777336;24.509118847978247;24.988159431871672
35 a 39 anos;17.628167854476118;63.669279439894694;47.81331253092455;36.339630934576526;35.28293568554475;38.47234340680853;33.53383286263269
40 a 49 anos;11.17764086944077;30.62842602939182;32.64942442403618;22.15916431014319;26.00587618882025;28.276266879920033;29.180566877132748
50 anos ou mais;11.678541291227315;36.86596573578449;35.47320489344849;20.05945588382879;31.789620327577705;31.177110772020015;24.39796245031775
classes de rendimento mensal domiciliar per capita;;;;;;;
total (2)(3);5.005060248252158;14.428409632806309;12.309330433146133;9.284608374188766;11.2698659114516;11.251474286513023;13.386547540339864
sem rendimento a menos de 1/4 do salário mínimo (2) (4) ;17.207745827572513;38.15331056358978;54.87064069527633;39.79144918367555;42.745554430834225;32.363604099225725;38.633540428215746
1/4 a menos de 1/2 salário mínimo (2);13.416897130657887;36.41775258412824;30.591783193986416;20.803206035398826;34.16684135275727;31.622254856420245;40.50298375738897
1/2 a menos de 1 salário mínimo (2);9.292189186846938;26.88192451545961;24.359285094967014;16.85061491915102;19.77560181356897;19.966820117845753;27.560948443236448
1 a menos de 2 salários mínimos (2) ;9.584110396618987;28.878578878787778;24.541419541824666;18.675897704591407;20.983389176334676;21.874172859662913;21.16773892326339
2 salários mínimos ou mais (2) ;10.098510081366362;32.69935510093101;22.65052966889655;18.98941926088448;26.168452016844054;23.158858995673075;23.811124925502735
fonte: ibge, diretoria de pesquisas, coordenação de trabalho e rendimento, pesquisa nacional por amostra de domicílios 2009.;;;;;;;
