"Situação do domicílio,                                                    Grandes Regiões e 
Unidades da Federação ";Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último roubo que foram vítimas, no período de referência de 365 dias (%);Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último roubo que foram vítimas, no período de referência de 365 dias (%);Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último roubo que foram vítimas, no período de referência de 365 dias (%);Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último roubo que foram vítimas, no período de referência de 365 dias (%);Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último roubo que foram vítimas, no período de referência de 365 dias (%);Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último roubo que foram vítimas, no período de referência de 365 dias (%)
;Total;Motivo de não terem procurado a polícia em decorrência do último roubo;Motivo de não terem procurado a polícia em decorrência do último roubo.1;Motivo de não terem procurado a polícia em decorrência do último roubo.2;Motivo de não terem procurado a polícia em decorrência do último roubo.3;Motivo de não terem procurado a polícia em decorrência do último roubo.4
               Brasil;1.77;4.64;3.14;2.69;3.27;4.89
Situação do domicílio;;;;;;
Urbana;1.8;4.74;3.16;2.77;3.43;5.04
Rural;12.64;17.33;19.23;19.75;16.1;20.69
Grandes Regiões e Unidades da Federação;;;;;;
Norte;4.59;12.32;7.47;5.84;7.97;12.42
Rondônia;15.37;44.52;26.04;22.27;32.49;43.29
Acre;17.39;32.12;42.9;26.18;42.72;44.85
Amazonas;10.35;24.76;20.23;14.28;22.94;53.37
Roraima;21.78;38.46;31.8;41.24;55.27;69.06
Pará;5.89;19.79;9.14;7.08;9.5;14.58
Amapá;20.75;39.05;32.66;26.09;38.13;69.94
Tocantins;17.33;46.32;37.15;25.47;27.37;55.17
Nordeste;3.07;8.04;4.95;4.52;4.78;7.45
Maranhão;18.88;23.62;29.77;27.69;25.55;31.75
Piauí;13.36;62.25;30.16;17.65;18.96;37.13
Ceará;4.36;14.07;8.43;6.42;10.72;17.28
Rio Grande do Norte;12.1;32.46;17.88;13.87;25.8;35.64
Paraíba;10.93;35.21;16.29;16.06;20.65;25.72
Pernambuco;5.18;16.29;9.99;7.18;8.9;17.01
Alagoas;9.86;43.66;28.56;17.78;20.99;42.24
Sergipe;9.03;25.38;19.27;15.78;24.19;37.08
Bahia;5.09;13.17;7.97;8.13;8.42;12.27
Sudeste;3.09;8.72;6.07;5.07;6.33;8.92
Minas Gerais;5.95;16.55;11.09;11.43;14.21;15.14
Espírito Santo;10.48;45.88;18.5;16.72;20.39;33.29
Rio de Janeiro;5.88;14.18;12.03;9.19;11.3;18.33
São Paulo;4.67;13.7;9.36;7.58;9.62;12.94
Sul;4.84;11.22;8.84;8.5;11.13;11.79
Paraná;6.74;17.26;12.24;11.76;16.39;16.77
Santa Catarina;23.35;49.34;35.88;36.17;43.71;38.13
Rio Grande do Sul;6.7;15.0;12.91;12.14;15.76;18.34
Centro-Oeste;5.24;13.21;9.1;7.97;11.08;14.36
Mato Grosso do Sul;17.88;38.81;25.2;28.29;37.72;33.34
Mato Grosso;13.09;37.87;22.24;18.32;28.63;35.61
Goiás;8.37;18.74;15.68;13.75;17.36;23.85
