;Unnamed: 1_level_0;Economicamente ativas;Economicamente ativas;Economicamente ativas;"Não economicamente
 ativas"
;;Total;Condição de ocupação na semana de referência;Condição de ocupação na semana de referência.1;Unnamed: 5_level_1
               Brasil;1.44;1.5;1.54;3.64;2.4
Situação do domicílio;;;;;
Urbana;1.5;1.57;1.62;3.67;2.45
Rural;9.87;9.68;9.3;27.29;14.97
Grandes Regiões e Unidades da Federação;;;;;
Norte;3.76;3.93;3.87;8.04;4.94
Rondônia;10.72;11.0;11.25;36.0;16.68
Acre;12.42;13.84;14.04;39.45;25.79
Amazonas;9.07;9.23;9.74;18.08;14.19
Roraima;16.04;17.06;17.57;38.78;23.31
Pará;4.93;5.18;5.01;10.43;5.96
Amapá;19.19;18.94;20.84;26.8;24.66
Tocantins;14.64;17.6;17.61;38.14;23.95
Nordeste;2.76;2.73;2.85;5.47;4.28
Maranhão;16.9;16.45;17.2;28.58;21.87
Piauí;10.96;11.27;11.1;25.0;18.94
Ceará;3.78;3.98;4.21;9.19;6.34
Rio Grande do Norte;7.72;7.92;8.43;16.17;14.02
Paraíba;11.7;9.98;10.51;21.05;20.6
Pernambuco;4.93;5.5;5.32;12.72;6.58
Alagoas;9.41;10.11;11.53;28.37;15.03
Sergipe;7.33;10.11;11.45;20.08;11.37
Bahia;4.43;4.41;4.58;8.5;7.72
Sudeste;2.42;2.61;2.67;7.2;4.37
Minas Gerais;4.33;4.69;4.92;13.17;8.53
Espírito Santo;8.47;9.39;9.96;22.43;14.4
Rio de Janeiro;4.76;5.03;5.09;14.68;8.47
São Paulo;3.58;3.85;3.96;10.25;6.52
Sul;3.53;3.78;3.82;11.93;6.6
Paraná;5.42;5.74;5.68;18.68;10.43
Santa Catarina;14.81;15.87;16.03;57.87;25.55
Rio Grande do Sul;4.28;4.75;4.96;14.54;7.77
Centro-Oeste;3.96;4.19;4.23;10.47;6.75
Mato Grosso do Sul;13.33;14.15;13.81;30.01;18.46
Mato Grosso;9.45;9.84;10.11;30.23;19.15
Goiás;6.49;6.9;6.82;19.09;11.72
