;coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que procuraram a polícia em decorrência do último roubo que foram vítimas, no período de referência de 365 dias (%);coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que procuraram a polícia em decorrência do último roubo que foram vítimas, no período de referência de 365 dias (%);coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que procuraram a polícia em decorrência do último roubo que foram vítimas, no período de referência de 365 dias (%)
;total;realização do registro do último roubo na delegacia de polícia;realização do registro do último roubo na delegacia de polícia.1
               brasil;0.0;0.5084660080516233;4.653808801356644
situação do domicílio;;;
urbana;0.0;0.5244791686992127;4.782584387210245
rural;0.0;2.2833209284012255;22.773742689970383
grandes regiões e unidades da federação;;;
norte;0.0;1.1884068376743386;11.886240799048847
rondônia;0.0;1.8063474604675205;43.168990498018395
acre;0.0;4.4761428171107065;38.27605344558445
amazonas;0.0;2.3461789757648432;27.927259441002125
roraima;0.0;4.608388535915693;32.25871975140985
pará;0.0;1.7371234978717853;16.32673402808713
amapá;0.0;4.519163947274241;44.50449263706005
tocantins;0.0;7.292212389266367;38.54455120040794
nordeste;0.0;1.1636247317596082;6.979726632041976
maranhão;0.0;7.5672734992131225;24.59363887244265
piauí;0.0;3.3320133835754153;48.31419406184354
ceará;0.0;2.1890230576260814;8.238136458348592
rio grande do norte;0.0;2.9769773430494344;27.937787373233153
paraíba;0.0;3.7363952095239794;22.66746427111214
pernambuco;0.0;1.4508160895744135;15.746596991524312
alagoas;0.0;7.685145709522297;21.61447230803146
sergipe;0.0;4.621032175906628;23.816088906595702
bahia;0.0;1.938472407871577;18.101045869305267
sudeste;0.0;0.7973653816505734;8.976527640876439
minas gerais;0.0;1.345623047593027;17.807785974386938
espírito santo;0.0;5.367620623543539;26.8381031177177
rio de janeiro;0.0;1.6535587873898256;22.140643757660282
são paulo;0.0;1.1276032472850015;12.207433755100583
sul;0.0;1.0690003266285342;13.962278492274127
paraná;0.0;2.0622358876023386;19.539350282545747
santa catarina;0.0;1.9194765128555211;66.22193969351548
rio grande do sul;0.0;1.2269505274142416;19.751713296175915
centro-oeste;0.0;1.2915780226316225;12.831927968378203
mato grosso do sul;0.0;4.077398036017045;38.50875922904987
mato grosso;0.0;3.4137953427368224;34.137953427368224
goiás;0.0;2.2719514295852226;16.10412630970702
