;unnamed: 1_level_0;economicamente ativas;economicamente ativas;economicamente ativas;não economicamente ativas
;unnamed: 1_level_1;total;condição de ocupação na semana de referência;condição de ocupação na semana de referência.1;unnamed: 5_level_1
               brasil;1.4325562400255076;1.497254896137514;1.5546410530587225;3.4718355077651286;2.3796408270538816
situação do domicílio;;;;;
urbana;1.3773883123865698;1.4500174008054847;1.5008257474383226;3.5085864680604057;2.356601093214059
rural;9.21394459335011;9.222093540640033;8.912425770630477;25.197083841703254;14.214631052883503
grandes regiões e unidades da federação;;;;;
norte;3.7557666979634243;4.1187943344028755;4.172238225095976;6.945449702916183;4.831941725442934
rondônia;10.570962256906302;11.054143719649314;11.519053297428465;33.30592481719965;16.665899154459353
acre;12.365597983472432;13.9206214439942;14.32103985464141;37.2929928950972;25.598620465318508
amazonas;8.902114445508872;8.870036115168066;9.448760592892032;17.039685584881145;14.308796245477208
roraima;16.30986814461272;17.181362495637256;17.84443893486453;34.958686863001134;23.418919817393046
pará;4.96855767699383;5.794912956252269;5.895657481592608;8.295477607327593;5.554094033131826
amapá;19.02115427432114;16.04871243281705;17.8230277401838;23.410602283101397;27.665386219896895
tocantins;14.605787064378148;17.651357477017473;17.74033600464769;34.58002549859804;24.80204373025633
nordeste;2.724880411166274;2.7297585885668756;2.9440949339383686;5.00804928417931;4.2809405531641715
maranhão;16.352958078624855;15.731160372856593;17.48220514532983;24.639002059098598;21.68768992328544
piauí;10.835662810158352;11.614719396925112;11.472947504150818;23.09325503584595;19.502646828634646
ceará;3.752818469148282;3.934225213119048;4.2418835257459655;9.086925672693038;6.4127481904047565
rio grande do norte;7.82489793573504;8.327831391047262;9.108105181157766;16.842134609898952;13.658509964921231
paraíba;11.806343873567606;9.936490729075617;10.504202984824577;20.221469270388692;20.700163429866613
pernambuco;5.036243846563104;6.130655068180593;6.102004368076295;10.610930544492234;6.609923656363916
alagoas;9.16863311393599;9.632482845066614;11.327018511620034;28.45303633626457;15.935763272611238
sergipe;7.344931518745458;10.389203057852734;12.024245165964365;18.14017334541065;11.000127947593809
bahia;4.461286882538914;4.4585342668640395;4.74828571325277;8.300690183542214;7.586416549612988
sudeste;2.4080810555187475;2.570400345810683;2.640750488352833;6.98494779660136;4.340013399858765
minas gerais;4.326741569547564;4.653133325842909;4.90517980286651;12.944583916957605;8.45475221562459
espírito santo;8.563135502958145;9.327257163372257;10.033782033173297;21.95719056759687;14.665870217314101
rio de janeiro;4.763226747095959;4.971783549980848;5.029168254346997;14.14996115827072;8.463186690885165
são paulo;3.5482748946456235;3.7821385899434694;3.890700421907048;9.934558063463975;6.4518099180251465
sul;3.516994114737189;3.800181761280927;3.886559374601623;11.7871322981134;6.446317616347809
paraná;5.392046562474387;5.717452045242669;5.685455524878702;17.137670966754577;10.30920807553923
santa catarina;14.726635571103778;15.974759210968468;16.335719914697098;58.548996797909915;24.588442501975685
rio grande do sul;4.299697990040326;4.80330725190095;5.055412562870565;15.455689262355161;7.664990383984424
centro-oeste;3.9422176685866894;4.218891400363403;4.247181521711766;10.332044640717358;6.7314841601212905
mato grosso do sul;13.191926024578224;14.034820038049617;13.762649675492922;28.597308317848835;18.09551305308375
mato grosso;9.467233031129078;10.098052296173591;10.236061496060012;30.76433474273612;18.925427513694764
goiás;6.423255527756911;6.944896570089081;6.853645167828738;18.847706375978643;11.716461097634113
