;total;grupos de idade;grupos de idade;grupos de idade;grupos de idade;grupos de idade
;unnamed: 1_level_1;10 a 15 anos;16 a 24 anos;25 a 34 anos;35 a 49 anos;50 anos ou mais
               brasil;0.0;3.92;1.64;1.77;1.68;2.2
situação do domicílio;;;;;;
urbana;0.0;3.98;1.67;1.81;1.71;2.28
rural;0.0;21.06;8.84;7.88;7.96;9.58
grandes regiões e unidades da federação;;;;;;
norte;0.0;8.11;3.42;3.57;3.67;5.8
rondônia;0.0;27.32;11.56;17.12;12.01;14.6
acre;0.0;42.51;20.17;21.25;16.55;25.47
amazonas;0.0;21.7;8.28;9.91;9.42;15.3
roraima;0.0;34.05;16.93;24.89;23.28;35.17
pará;0.0;10.2;4.34;4.22;4.57;7.76
amapá;0.0;40.45;13.38;16.77;20.63;25.82
tocantins;0.0;37.44;21.06;17.7;21.02;18.87
nordeste;0.0;5.68;2.45;2.77;2.81;3.54
maranhão;0.0;20.62;13.64;11.28;14.84;14.45
piauí;0.0;34.15;13.86;16.36;11.7;18.75
ceará;0.0;10.7;3.82;4.51;5.23;8.39
rio grande do norte;0.0;19.99;8.06;11.24;9.3;14.93
paraíba;0.0;19.52;9.01;12.92;12.19;13.06
pernambuco;0.0;14.8;5.11;4.86;6.02;6.83
alagoas;0.0;25.11;8.74;16.22;13.72;16.52
sergipe;0.0;20.65;9.07;14.99;12.52;12.85
bahia;0.0;10.41;4.27;4.65;4.64;6.5
sudeste;0.0;9.04;3.28;3.45;3.05;3.73
minas gerais;0.0;17.09;6.08;6.35;6.45;7.37
espírito santo;0.0;21.64;11.87;14.36;10.72;15.27
rio de janeiro;0.0;17.77;6.2;5.53;5.86;6.85
são paulo;0.0;14.41;4.94;5.32;4.32;5.5
sul;0.0;11.43;4.81;5.47;5.22;4.79
paraná;0.0;16.36;6.49;8.2;7.56;7.44
santa catarina;0.0;33.45;15.75;20.31;22.65;18.04
rio grande do sul;0.0;16.66;8.02;7.61;7.05;6.22
centro-oeste;0.0;9.68;4.74;4.86;4.59;7.08
mato grosso do sul;0.0;25.37;15.56;12.73;16.02;15.56
mato grosso;0.0;40.05;14.33;11.02;9.39;13.12
goiás;0.0;18.0;8.59;7.84;7.4;12.81
