;total;local de ocorrência do último roubo;local de ocorrência do último roubo;local de ocorrência do último roubo;local de ocorrência do último roubo;local de ocorrência do último roubo
;total;própria residência ou de terceiros;estabelecimento comercial;via pública;transporte coletivo;outro
               brasil;1.44;3.44;3.92;1.61;4.14;
urbana;1.5;3.63;4.02;1.67;4.2;
rural;9.87;11.53;16.75;11.86;23.2;
norte;3.76;7.09;9.69;3.93;10.53;
rondônia;10.72;19.24;20.61;13.14;69.42;
acre;12.42;22.9;25.07;18.5;54.6;
amazonas;9.07;19.02;26.86;9.89;22.8;
roraima;16.04;24.04;53.35;21.73;;
pará;4.93;10.58;14.43;4.8;12.76;
amapá;19.19;32.95;37.72;20.83;90.37;
tocantins;14.64;18.83;44.74;25.97;43.26;
nordeste;2.76;6.33;6.69;3.01;5.99;
maranhão;16.9;24.56;38.43;18.21;32.06;
piauí;10.96;25.99;36.18;12.27;38.38;
ceará;3.78;11.22;12.68;4.19;12.83;
rio grande do norte;7.72;18.84;21.12;9.23;27.18;
paraíba;11.7;23.89;32.27;11.26;28.99;
pernambuco;4.93;12.43;14.85;5.39;11.53;
alagoas;9.41;26.11;31.7;10.01;54.32;
sergipe;7.33;19.94;34.35;8.95;48.77;
bahia;4.43;12.68;10.02;5.04;8.2;
sudeste;2.42;6.41;6.96;2.69;7.43;
minas gerais;4.33;11.72;12.22;4.81;16.08;
espírito santo;8.47;22.54;20.77;10.02;28.72;
rio de janeiro;4.76;15.22;17.06;5.35;10.25;
são paulo;3.58;8.84;9.45;3.97;14.27;
sul;3.53;8.64;7.78;4.18;13.51;
paraná;5.42;11.75;10.97;6.88;24.18;
santa catarina;14.81;26.88;25.67;14.97;58.29;
rio grande do sul;4.28;12.88;12.12;5.11;16.11;
centro-oeste;3.96;9.41;10.58;4.64;14.14;
mato grosso do sul;13.33;27.47;34.37;12.83;49.19;
mato grosso;9.45;17.01;21.43;11.3;56.43;
goiás;6.49;14.51;18.24;8.09;21.14;
