;Unnamed: 1_level_0;Falta de provas;Não era importante;Não acreditavam na polícia;Não queriam envolver a polícia ou medo de represália;Outro
Brasil (1);0.0;4.212800105155133;2.6350012237333327;1.9518543234119992;2.838887807342168;4.624632123611441
Sem instrução;0;13.75;13.33;8.57;9.85;16.73
Fundamental incompleto ou equivalente;0;6.34;4.67;3.59;4.88;8.19
Fundamental completo ou equivalente;0;11.74;7.65;5.23;7.77;13.44
Médio incompleto ou equivalente;0;11.69;6.4;4.9;7.05;12.08
Médio completo ou equivalente;0;8.02;4.42;3.24;5.6;8.34
Superior incompleto ou equivalente;0;15.06;8.67;6.63;12.85;16.79
Superior completo ou equivalente;0;17.2;9.44;6.87;13.38;13.41
Norte (1);0;11.11;6.66;3.32;6.73;10.88
Sem instrução;0;29.4;39.66;20.0;25.89;47.21
Fundamental incompleto ou equivalente;0;15.02;10.8;5.38;10.85;18.99
Fundamental completo ou equivalente;0;31.17;13.4;7.77;24.24;32.67
Médio incompleto ou equivalente;0;24.4;13.39;9.36;18.62;31.99
Médio completo ou equivalente;0;19.18;11.0;5.19;12.47;28.11
Superior incompleto ou equivalente;0;50.43;26.09;12.41;27.46;55.92
Superior completo ou equivalente;0;41.85;27.88;16.04;32.31;37.3
Nordeste (1);0;7.12;3.89;3.1;4.04;7.12
Sem instrução;0;19.23;16.48;10.61;13.11;25.58
Fundamental incompleto ou equivalente;0;9.27;6.47;6.31;7.43;12.74
Fundamental completo ou equivalente;0;21.22;13.08;8.05;9.83;22.01
Médio incompleto ou equivalente;0;18.89;9.56;7.14;9.9;18.1
Médio completo ou equivalente;0;15.44;6.58;4.46;7.82;11.98
Superior incompleto ou equivalente;0;24.68;12.6;10.82;16.82;30.85
Superior completo ou equivalente;0;43.38;13.78;9.37;18.2;28.41
Sudeste (1);0;8.07;5.25;3.95;5.61;8.41
Sem instrução;0;37.22;41.78;21.45;19.69;29.48
Fundamental incompleto ou equivalente;0;16.47;10.59;7.57;9.61;16.88
Fundamental completo ou equivalente;0;20.24;14.02;11.31;13.81;23.37
Médio incompleto ou equivalente;0;28.13;14.78;10.44;16.25;23.31
Médio completo ou equivalente;0;12.99;8.53;6.91;10.94;15.27
Superior incompleto ou equivalente;0;23.81;14.6;11.32;26.28;25.3
Superior completo ou equivalente;0;25.14;15.0;12.0;21.53;17.56
Sul (1);0;10.3;7.35;6.73;10.06;10.96
Sem instrução;0;38.38;37.36;80.1;37.2;48.9
Fundamental incompleto ou equivalente;0;17.57;15.13;11.49;19.34;20.38
Fundamental completo ou equivalente;0;23.67;24.88;14.24;26.82;35.65
Médio incompleto ou equivalente;0;29.45;17.85;20.78;18.5;41.85
Médio completo ou equivalente;0;19.12;13.23;14.99;20.83;20.44
Superior incompleto ou equivalente;0;47.0;23.15;22.04;37.93;34.44
Superior completo ou equivalente;0;43.38;20.75;15.99;51.25;30.17
Centro-Oeste (1);0;11.96;7.4;5.99;9.71;13.75
Sem instrução;0;53.9;44.72;23.63;54.81;53.96
Fundamental incompleto ou equivalente;0;17.28;12.7;9.99;15.0;20.1
Fundamental completo ou equivalente;0;32.9;22.35;16.85;31.45;36.99
Médio incompleto ou equivalente;0;28.52;18.28;16.72;18.21;29.53
Médio completo ou equivalente;0;32.67;12.68;12.32;22.23;29.19
Superior incompleto ou equivalente;0;38.96;30.76;21.43;56.71;70.78
Superior completo ou equivalente;0;29.92;40.75;25.39;56.88;70.92
