;Unnamed: 1_level_0;Economicamente ativas;Economicamente ativas;Economicamente ativas;"Não economicamente
 ativas"
;;Total;Condição de ocupação na semana de referência;Condição de ocupação na semana de referência.1;Unnamed: 5_level_1
               Brasil;0.0;0.58;0.69;4.18;1.84
Situação do domicílio;;;;;
Urbana;0.0;0.62;0.73;4.22;1.91
Rural;0.0;1.65;1.8;21.91;7.09
Grandes Regiões e Unidades da Federação;;;;;
Norte;0.0;1.31;1.64;9.8;4.01
Rondônia;0.0;2.62;3.58;28.97;8.96
Acre;0.0;3.94;6.17;46.14;10.39
Amazonas;0.0;3.4;3.7;20.6;11.14
Roraima;0.0;5.11;7.06;28.73;12.24
Pará;0.0;2.28;2.81;16.02;6.71
Amapá;0.0;5.35;6.39;34.63;15.61
Tocantins;0.0;2.55;2.93;28.5;9.86
Nordeste;0.0;1.31;1.55;6.97;3.79
Maranhão;0.0;5.89;7.08;22.45;13.59
Piauí;0.0;3.74;3.41;61.16;11.81
Ceará;0.0;2.33;2.72;14.32;7.67
Rio Grande do Norte;0.0;4.15;4.67;18.88;12.13
Paraíba;0.0;4.57;4.92;27.78;12.33
Pernambuco;0.0;2.86;3.65;18.28;6.95
Alagoas;0.0;4.94;5.03;26.63;15.08
Sergipe;0.0;3.89;3.41;30.5;10.94
Bahia;0.0;1.86;2.39;12.24;6.27
Sudeste;0.0;1.01;1.21;7.73;3.15
Minas Gerais;0.0;1.59;1.98;12.18;5.03
Espírito Santo;0.0;3.94;5.05;25.8;12.39
Rio de Janeiro;0.0;2.85;3.18;20.27;6.67
São Paulo;0.0;1.5;1.8;11.37;5.03
Sul;0.0;1.27;1.58;11.1;4.57
Paraná;0.0;1.94;2.24;16.73;7.24
Santa Catarina;0.0;2.4;2.61;30.19;10.15
Rio Grande do Sul;0.0;2.26;3.08;17.05;7.19
Centro-Oeste;0.0;1.29;1.44;9.38;4.78
Mato Grosso do Sul;0.0;2.56;3.13;19.82;9.16
Mato Grosso;0.0;2.61;3.03;23.67;8.37
Goiás;0.0;2.13;2.29;14.74;8.8
