Sexo, cor ou raça, grupos de idade, nível de instrução e classes de rendimento mensal domiciliar per capita; Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias (%); Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias (%); Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias (%); Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias (%); Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias (%); Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias (%)
;Total;Motivo de não terem procurado a polícia em decorrência do último furto;Motivo de não terem procurado a polícia em decorrência do último furto.1;Motivo de não terem procurado a polícia em decorrência do último furto.2;Motivo de não terem procurado a polícia em decorrência do último furto.3;Motivo de não terem procurado a polícia em decorrência do último furto.4
Total (1)(2);0.0;2.44;2.37;2.46;3.24;3.93
Sexo;;;;;;
Homens;0.0;2.95;3.0;2.96;4.41;4.95
Mulheres;0.0;3.25;3.14;3.45;4.21;5.13
Cor ou raça;;;;;;
Branca;0.0;3.47;3.49;3.39;5.02;5.62
Preta ou parda;0.0;3.08;3.1;3.26;3.97;4.95
Preta;0.0;6.62;7.37;7.85;8.76;11.39
Parda;0.0;3.35;3.34;3.43;4.37;5.37
Grupos de idade;;;;;;
10 a 24 anos;0.0;4.54;3.97;4.78;6.44;7.13
25 a 34 anos;0.0;4.39;4.62;4.61;6.83;7.27
35 a 39 anos;0.0;6.32;7.06;6.66;9.18;10.86
40 a 49 anos;0.0;4.68;5.54;5.15;6.9;7.9
50 anos ou mais;0.0;4.38;4.5;4.46;5.47;7.18
Nível de instrução;;;;;;
Sem instrução;0.0;6.23;8.41;8.64;7.14;11.95
Fundamental incompleto ou equivalente;0.0;3.51;3.76;4.36;4.64;6.23
Fundamental completo ou equivalente;0.0;6.86;6.75;6.9;9.49;10.79
Médio incompleto ou equivalente;0.0;7.21;6.91;6.64;11.01;11.39
Médio completo ou equivalente;0.0;4.66;4.28;4.57;7.52;7.38
Superior incompleto ou equivalente;0.0;10.08;8.71;8.3;14.95;13.74
Superior completo ou equivalente;0.0;7.96;6.98;6.9;13.59;10.76
Classes de rendimento mensal domiciliar per capita;;;;;;
Total (3)(4);0.0;2.45;2.37;2.46;3.25;3.94
   Sem rendimento a menos de 1/4 do salário mínimo (3)(5);0.0;6.62;8.46;10.37;9.14;13.34
1/4 a menos de 1/2 salário mínimo (3);0.0;5.52;5.49;6.03;7.86;9.72
1/2 a menos de 1 salário mínimo (3);0.0;4.02;4.42;4.8;5.94;7.3
1 a menos de 2 salários mínimos (3) ;0.0;4.47;4.53;4.23;6.03;6.71
2 salários mínimos ou mais (3) ;0.0;5.2;4.84;4.44;7.69;8.04
Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2009.;;;;;;
(1) Inclusive as pessoas de cor ou raça amarela, indígena ou sem declaração. (2) Inclusive as pessoas com nível de instrução não determinado. (3) Ex-;;;;;;
