;Unnamed: 1_level_0;Própria residência ou de terceiros;Estabele-cimento comercial;Via pública;Transporte Coletivo;Outro
Brasil (1);0.0;1.2362482367659198;2.700411768401808;1.9474109534304007;4.678543061749731;3.2903509727745424
Sem rendimento a menos de 1/4 do salário mínimo (2);0.0;2.81;16.32;9.03;20.97;12.18
1/4 a menos de 1/2 salário mínimo ;0.0;2.57;8.26;5.05;12.56;9.06
1/2 a menos de 1 salário mínimo ;0.0;2.19;5.29;3.52;8.86;5.78
1 a menos de 2 salários mínimos ;0.0;2.07;4.93;3.48;7.72;6.11
2 salários mínimos ou mais ;0.0;2.65;4.82;3.18;9.4;6.71
Norte (1);0.0;2.3;7.52;5.84;14.51;8.9
Sem rendimento a menos de 1/4 do salário mínimo (2);0.0;6.84;27.5;20.16;42.07;32.02
1/4 a menos de 1/2 salário mínimo ;0.0;4.49;24.83;11.93;36.61;23.26
1/2 a menos de 1 salário mínimo ;0.0;4.74;11.88;10.6;31.2;13.57
1 a menos de 2 salários mínimos ;0.0;4.25;16.06;10.28;24.82;18.57
2 salários mínimos ou mais ;0.0;5.33;15.88;13.85;39.85;18.34
Nordeste (1);0.0;2.37;5.43;4.07;8.57;5.64
Sem rendimento a menos de 1/4 do salário mínimo (2);0.0;4.05;22.69;13.84;26.19;16.38
1/4 a menos de 1/2 salário mínimo ;0.0;4.03;10.55;7.79;19.5;13.81
1/2 a menos de 1 salário mínimo ;0.0;4.54;10.36;6.14;13.47;8.85
1 a menos de 2 salários mínimos ;0.0;4.57;10.56;8.01;14.64;14.85
2 salários mínimos ou mais ;0.0;5.68;9.51;7.81;20.72;13.37
Sudeste (1);0.0;2.55;4.66;2.97;8.42;5.92
Sem rendimento a menos de 1/4 do salário mínimo (2);0.0;7.76;41.51;15.03;71.79;36.01
1/4 a menos de 1/2 salário mínimo ;0.0;7.3;19.14;10.55;28.06;18.54
1/2 a menos de 1 salário mínimo ;0.0;4.62;10.0;5.8;18.2;11.91
1 a menos de 2 salários mínimos ;0.0;4.03;8.06;5.5;13.85;9.45
2 salários mínimos ou mais ;0.0;4.94;8.21;4.34;14.37;11.14
Sul (1);0.0;2.64;6.39;4.68;11.57;8.45
Sem rendimento a menos de 1/4 do salário mínimo (2);0.0;5.12;73.25;33.84;60.35;37.05
1/4 a menos de 1/2 salário mínimo ;0.0;7.83;28.92;15.36;51.7;29.52
1/2 a menos de 1 salário mínimo ;0.0;4.11;15.35;9.33;28.04;16.09
1 a menos de 2 salários mínimos ;0.0;3.82;12.15;7.99;16.67;14.53
2 salários mínimos ou mais ;0.0;4.66;9.22;6.75;20.07;13.79
Centro-Oeste (1);0.0;2.86;6.25;4.86;10.0;7.78
Sem rendimento a menos de 1/4 do salário mínimo (2);0.0;6.91;99.63;36.44;;32.45
1/4 a menos de 1/2 salário mínimo ;0.0;5.48;27.35;15.64;23.89;20.54
1/2 a menos de 1 salário mínimo ;0.0;5.22;11.61;10.56;17.7;13.3
1 a menos de 2 salários mínimos ;0.0;4.7;9.9;8.07;14.94;14.48
2 salários mínimos ou mais ;0.0;5.96;12.16;8.29;22.81;13.46
