;coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último furto, no período de referência de 365 dias (%);coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último furto, no período de referência de 365 dias (%);coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último furto, no período de referência de 365 dias (%);coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último furto, no período de referência de 365 dias (%);coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último furto, no período de referência de 365 dias (%);coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último furto, no período de referência de 365 dias (%)
;total;motivo de não terem procurado a polícia em decorrência do último furto;motivo de não terem procurado a polícia em decorrência do último furto.1;motivo de não terem procurado a polícia em decorrência do último furto.2;motivo de não terem procurado a polícia em decorrência do último furto.3;motivo de não terem procurado a polícia em decorrência do último furto.4
total (1)(2);1.9199876671637548;3.317317856780621;2.9760918489617034;3.0569654860866082;3.813741821458291;4.154858651375722
sexo;;;;;;
homens;2.051494524248216;3.631486078463136;3.6560041304859086;3.4929513615327235;4.972848761023728;5.3019217418973
mulheres;2.5066594587523765;4.373079662661997;3.912631328110132;4.351867748274814;4.8115361485262875;5.374936460971717
cor ou raça;;;;;;
branca;2.4501467567910282;4.277056639898521;4.4110891755057215;4.096525020407352;5.620785376293106;5.960585746288166
preta ou parda;2.4967981560885466;4.178864449019014;3.865011161404441;4.049750347274177;4.805357085879648;5.263366758404278
preta;5.089343537172507;8.743739400122479;8.347770295782187;9.304979703344396;10.586860304898602;12.15616492420394
parda;2.545492186974562;4.4622057549233825;4.1968886116814925;4.18190267749442;4.988420440389711;5.666746983856984
grupos de idade;;;;;;
10 a 24 anos;2.817902896381845;5.78290636764385;4.501849142369176;5.313506681368112;7.0900344684630525;7.730198685175589
25 a 34 anos;3.1878549804570366;5.552515278781319;5.644048132127064;5.651475888225013;7.408019072067347;7.746226966982805
35 a 39 anos;4.275846816633675;7.440970985348981;8.346909822242882;7.986133054487353;10.337190040356521;11.471677601204126
40 a 49 anos;3.4148922168599927;5.873590483935956;6.5670719048045365;6.301026195492674;7.29097674690886;8.680155665980713
50 anos ou mais;2.8624808237504564;5.424609918370357;5.327989660923917;5.181532467388179;6.133596232096138;7.631949078754748
nível de instrução;;;;;;
sem instrução;4.761748870594536;8.196208051883891;9.064206762850208;9.95580655686656;8.620127481600058;12.72151093908895
fundamental incompleto ou equivalente;2.707453794747041;4.668748573534919;4.618408176627702;5.025491599343983;5.294978994759665;6.636370266785139
fundamental completo ou equivalente;3.9207949806215527;7.887593029506043;7.731015171554331;8.060949752972853;10.283026095792653;11.409823378433327
médio incompleto ou equivalente;4.336783380841961;8.26738998081964;8.28171196202429;7.884826196447824;11.782618034934023;12.332724881879571
médio completo ou equivalente;2.9073787762261247;5.68367071670098;5.088385145513238;5.452910059441478;8.120174500544488;7.669364643232229
superior incompleto ou equivalente;5.453568110996772;11.193073913670188;10.030544751058818;9.761983823055147;16.67071557034119;14.907267394566015
superior completo ou equivalente;5.065676068590178;9.643998051565788;8.5578611885451;8.692084247761821;14.550108839469466;11.483613514698009
classes de rendimento mensal domiciliar per capita;;;;;;
total (3)(4);1.9193151811833031;3.325995935285056;2.977804685688005;3.063702332735952;3.8157117793637414;4.165275450557742
   sem rendimento a menos de 1/4 do salário mínimo (3)(5);5.00506667303628;8.282080729470994;9.905058651657148;11.63674527836598;10.609099419828578;13.68933045082855
1/4 a menos de 1/2 salário mínimo (3);3.952040021923926;7.206868749724079;6.400369249405805;7.095419868700313;8.8952721034917;10.274875576556877
1/2 a menos de 1 salário mínimo (3);3.128668819018493;5.226096906159266;5.290909089639102;5.634223429645613;6.574771281554779;8.188074030850636
1 a menos de 2 salários mínimos (3) ;2.8966314288887816;5.702821849024748;5.145306899434332;5.124705218820028;6.544643948662706;7.166393307150098
2 salários mínimos ou mais (3) ;3.4289725965939533;6.448767426451597;5.861372464856991;5.5347733534089025;8.39408028552388;8.657905250537556
fonte: ibge, diretoria de pesquisas, coordenação de trabalho e rendimento, pesquisa nacional por amostra de domicílios 2009.;;;;;;
(1) inclusive as pessoas de cor ou raça amarela, indígena ou sem declaração. (2) inclusive as pessoas com nível de instrução não determinado. (3) ex-;;;;;;
