;Unnamed: 1_level_0;Própria residência ou de terceiros;Estabele-cimento comercial;Via pública;Transporte Coletivo;Outro
Brasil (1);1.6406120835717806;2.1568657631050696;3.2059370244732737;2.4575534085449995;4.654487709168057;3.685035522882311
Sem rendimento a menos de 1/4 do salário mínimo (2);4.65;5.16;16.86;10.68;21.02;13.24
1/4 a menos de 1/2 salário mínimo ;3.42;4.38;9.08;5.82;12.77;9.86
1/2 a menos de 1 salário mínimo ;2.62;3.65;5.77;4.22;8.98;6.27
1 a menos de 2 salários mínimos ;2.36;3.29;5.46;3.99;7.84;6.73
2 salários mínimos ou mais ;2.81;3.78;5.56;4.44;9.65;7.16
Norte (1);4.25;5.05;8.09;7.41;14.59;9.49
Sem rendimento a menos de 1/4 do salário mínimo (2);9.17;10.79;26.13;24.85;43.97;33.25
1/4 a menos de 1/2 salário mínimo ;7.59;9.08;23.9;14.69;37.08;24.75
1/2 a menos de 1 salário mínimo ;6.04;8.41;13.01;11.54;30.77;13.84
1 a menos de 2 salários mínimos ;5.68;7.08;16.74;11.68;25.55;19.79
2 salários mínimos ou mais ;7.17;8.41;17.48;15.85;40.89;20.51
Nordeste (1);3.95;4.81;7.22;5.16;8.34;7.22
Sem rendimento a menos de 1/4 do salário mínimo (2);7.49;7.63;24.87;16.81;25.8;18.61
1/4 a menos de 1/2 salário mínimo ;5.84;7.2;13.08;8.9;20.05;15.17
1/2 a menos de 1 salário mínimo ;5.03;7.36;11.48;7.38;13.9;9.79
1 a menos de 2 salários mínimos ;6.35;8.73;12.02;8.71;13.88;17.76
2 salários mínimos ou mais ;6.51;9.13;10.99;10.34;20.81;14.57
Sudeste (1);2.8;4.05;5.49;3.96;8.42;6.4
Sem rendimento a menos de 1/4 do salário mínimo (2);9.47;12.5;41.08;18.24;72.39;36.85
1/4 a menos de 1/2 salário mínimo ;7.4;11.15;19.59;12.06;28.23;20.7
1/2 a menos de 1 salário mínimo ;5.2;7.61;11.03;7.2;18.29;13.07
1 a menos de 2 salários mínimos ;3.83;5.73;9.16;6.46;14.25;10.07
2 salários mínimos ou mais ;4.67;6.76;9.54;6.52;14.77;11.87
Sul (1);3.22;4.71;6.7;5.05;11.32;9.06
Sem rendimento a menos de 1/4 do salário mínimo (2);13.34;15.74;72.51;32.99;60.16;39.52
1/4 a menos de 1/2 salário mínimo ;8.21;11.68;29.04;17.31;51.92;31.16
1/2 a menos de 1 salário mínimo ;5.85;7.72;15.96;10.59;27.59;16.79
1 a menos de 2 salários mínimos ;5.14;6.88;12.5;8.94;16.71;16.18
2 salários mínimos ou mais ;5.4;7.6;10.37;8.45;20.29;14.44
Centro-Oeste (1);3.17;4.47;6.92;5.53;10.42;8.39
Sem rendimento a menos de 1/4 do salário mínimo (2);14.31;16.32;99.93;38.27;;35.22
1/4 a menos de 1/2 salário mínimo ;8.47;10.78;28.52;17.24;24.53;21.47
1/2 a menos de 1 salário mínimo ;5.75;8.31;12.44;11.29;19.02;14.14
1 a menos de 2 salários mínimos ;4.87;6.98;10.41;9.46;15.58;15.59
2 salários mínimos ou mais ;6.04;8.15;13.72;10.32;24.37;14.65
Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2009.;;;;;;
Nota: Exclusive as pessoas cuja condição na unidade domiciliar era pensionista, empregado doméstico ou parente do empregado doméstico.;;;;;;
(1) Inclusive as pessoas sem declaração de rendimento mensal domiciliar per capita. (2) Inclusive as pessoas moradoras em unidades domiciliares cujos componentes recebiam somente em benefícios.;;;;;;
