;unnamed: 1_level_0;própria residência ou de terceiros;estabele-cimento comercial;via pública;transporte coletivo;outro
;1.6381078278043735;2.1508281067720816;3.2075350541264673;2.4575885992800415;4.633942669511496;3.683953481809223
dinheiro, cartão de débito ou crédito, ou cheque;2.22;3.57;5.17;3.54;6.46;6.95
telefone celular;2.2;3.83;4.92;3.6;6.21;5.64
documentos ou objetos pessoais;2.5;3.64;7.31;3.96;8.25;8.8
carro, motocicleta ou bicicleta;3.45;4.25;9.26;4.58;72.33;10.07
outro;2.15;2.51;5.41;4.42;16.52;6.29
norte;4.25;5.05;8.05;7.39;14.59;9.46
dinheiro, cartão de débito ou crédito, ou cheque;6.46;9.5;17.11;12.33;18.63;20.99
telefone celular;5.9;8.21;13.75;10.41;19.39;14.22
documentos ou objetos pessoais;7.14;8.66;21.34;12.54;29.54;26.44
carro, motocicleta ou bicicleta;10.34;11.73;14.86;13.72;;21.0
outro;5.96;6.62;14.81;14.92;57.8;18.58
nordeste;3.93;4.78;7.21;5.18;8.37;7.21
dinheiro, cartão de débito ou crédito, ou cheque;4.48;7.29;9.65;6.09;13.33;13.27
telefone celular;4.3;6.99;8.69;6.26;10.45;10.47
documentos ou objetos pessoais;5.34;7.65;14.95;8.47;15.75;18.36
carro, motocicleta ou bicicleta;9.55;9.4;28.03;11.33;;23.91
outro;4.45;5.06;10.46;8.75;24.11;11.87
sudeste;2.8;4.05;5.49;3.96;8.42;6.42
dinheiro, cartão de débito ou crédito, ou cheque;3.8;6.45;8.47;5.63;11.35;12.14
telefone celular;3.77;8.01;8.43;5.78;10.95;9.41
documentos ou objetos pessoais;4.4;6.97;12.71;6.16;14.99;14.74
carro, motocicleta ou bicicleta;5.61;8.17;17.51;6.78;72.33;18.02
outro;4.21;5.12;9.9;7.96;40.08;11.22
sul;3.23;4.69;6.8;5.05;11.2;9.03
dinheiro, cartão de débito ou crédito, ou cheque;4.94;8.45;11.95;8.0;13.81;15.74
telefone celular;5.12;9.3;13.53;10.06;19.45;15.09
documentos ou objetos pessoais;5.48;8.36;14.27;8.24;17.16;20.16
carro, motocicleta ou bicicleta;6.28;8.3;14.51;11.21;;32.1
outro;4.36;5.15;11.88;7.96;32.59;13.96
centro-oeste;3.18;4.49;6.92;5.54;10.25;8.44
dinheiro, cartão de débito ou crédito, ou cheque;4.59;7.55;11.61;9.18;13.91;15.18
telefone celular;5.12;8.53;11.13;9.18;12.54;13.74
documentos ou objetos pessoais;5.48;7.87;15.46;9.56;16.84;16.69
carro, motocicleta ou bicicleta;6.28;8.73;14.24;9.97;;17.62
