;1.9193151811833031;3.325995935285056;2.977804685688005;3.063702332735952;3.8157117793637414;4.165275450557742
;5.00506667303628;8.282080729470994;9.905058651657148;11.63674527836598;10.609099419828578;13.68933045082855
1/4 a menos de 1/2 salário mínimo ;3.95;7.21;6.4;7.1;8.9;10.27
1/2 a menos de 1 salário mínimo ;3.13;5.23;5.29;5.63;6.57;8.19
1 a menos de 2 salários mínimos ;2.9;5.7;5.15;5.12;6.54;7.17
2 salários mínimos ou mais ;3.43;6.45;5.86;5.53;8.39;8.66
norte (1);4.93;8.28;8.79;6.32;9.38;13.04
sem rendimento a menos de 1/4 do salário mínimo (2);10.21;16.35;22.87;22.27;23.76;38.42
1/4 a menos de 1/2 salário mínimo ;8.48;15.09;14.13;13.96;22.58;24.33
1/2 a menos de 1 salário mínimo ;7.46;10.33;13.01;10.68;13.44;19.3
1 a menos de 2 salários mínimos ;7.0;15.34;17.27;10.05;20.75;23.44
2 salários mínimos ou mais ;8.79;17.01;16.82;15.11;34.76;27.0
nordeste (1);4.33;7.26;5.49;6.4;7.56;7.36
sem rendimento a menos de 1/4 do salário mínimo (2);7.36;11.84;14.69;17.05;14.4;18.7
1/4 a menos de 1/2 salário mínimo ;6.44;11.14;9.85;10.39;14.17;17.75
1/2 a menos de 1 salário mínimo ;5.8;9.47;8.6;9.4;12.49;16.79
1 a menos de 2 salários mínimos ;7.32;14.15;9.43;11.85;12.46;16.58
2 salários mínimos ou mais ;7.57;14.93;12.41;11.34;17.64;16.05
sudeste (1);3.27;5.62;5.89;5.73;6.41;7.24
sem rendimento a menos de 1/4 do salário mínimo (2);11.48;24.74;24.68;25.99;25.91;29.71
1/4 a menos de 1/2 salário mínimo ;8.61;17.94;13.41;19.85;18.18;21.49
1/2 a menos de 1 salário mínimo ;6.26;10.61;11.84;12.36;11.7;13.73
1 a menos de 2 salários mínimos ;4.91;10.48;9.65;9.12;10.52;11.73
2 salários mínimos ou mais ;5.83;10.86;10.53;9.98;12.69;13.83
sul (1);4.07;7.52;6.51;7.01;9.09;9.45
sem rendimento a menos de 1/4 do salário mínimo (2);16.16;22.31;25.25;44.09;31.2;46.79
1/4 a menos de 1/2 salário mínimo ;11.02;18.67;21.49;23.11;22.81;30.92
1/2 a menos de 1 salário mínimo ;7.93;15.5;12.97;15.14;21.23;21.84
1 a menos de 2 salários mínimos ;5.98;10.42;11.55;11.28;15.2;13.92
2 salários mínimos ou mais ;7.07;13.47;11.36;11.24;18.79;15.0
centro-oeste (1);3.67;6.66;6.48;7.25;9.42;10.28
sem rendimento a menos de 1/4 do salário mínimo (2);17.42;28.02;29.82;43.79;50.29;45.19
1/4 a menos de 1/2 salário mínimo ;9.7;19.81;20.06;23.87;22.23;21.95
1/2 a menos de 1 salário mínimo ;6.52;10.75;13.42;13.28;16.43;19.06
1 a menos de 2 salários mínimos ;6.09;11.11;10.98;12.22;17.23;16.57
2 salários mínimos ou mais ;7.43;15.65;12.58;13.1;21.21;21.84
