;dinheiro, cartão dedébito ou crédito, ou cheque;telefone celular;documentos ou objetos pessoais;carro, motocicletaou bicicleta;outro
;2.216600218942651;2.2026870638575704;2.5011838848177415;3.4509628075146566;2.1548926503660435
Sexo;;;;;
homens;2.71;2.88;3.09;3.24;2.33
mulheres;2.91;2.77;3.23;5.95;2.99
cor ou raça;;;;;
branca;3.01;3.12;3.4;4.04;2.97
preta ou parda;3.02;2.81;3.32;4.73;2.68
preta;6.68;6.47;7.52;9.8;5.96
parda;3.22;3.0;3.56;4.7;2.94
grupos de idade;;;;;
10 a 24 anos;4.59;3.24;4.74;5.73;4.79
25 a 34 anos;4.09;3.89;4.37;5.63;3.72
35 a 39 anos;5.85;6.17;5.93;6.94;4.95
40 a 49 anos;4.2;5.08;4.89;5.64;3.78
50 anos ou mais;3.56;4.83;4.44;5.92;3.09
nível de instrução;;;;;
sem instrução;6.9;9.44;8.26;10.77;5.38
fundamental incompleto ou equivalente;3.74;3.8;4.11;5.06;3.08
fundamental completo ou equivalente;6.18;5.74;6.92;6.81;5.32
médio incompleto ou equivalente;7.25;5.44;7.31;9.63;6.76
médio completo ou equivalente;3.79;3.67;4.13;5.08;3.67
superior incompleto ou equivalente;6.91;5.87;7.59;10.73;7.12
superior completo ou equivalente;5.58;6.13;5.79;8.84;5.31
classes de rendimento mensal domiciliar per capita;;;;;
total (3)(4);2.22;2.21;2.51;3.46;2.15
sem rendimento a menos de 1/4 do salário mínimo (3) (5);7.4;7.79;9.02;11.39;7.01
1/4 a menos de 1/2 salário mínimo (3);5.6;5.59;6.6;7.01;4.45
1/2 a menos de 1 salário mínimo (3);4.3;4.03;4.83;5.24;3.93
1 a menos de 2 salários mínimos (3) ;3.7;3.89;4.33;4.82;3.43
2 salários mínimos ou mais (3) ;4.23;4.31;4.43;5.92;3.86
fonte: ibge, diretoria de pesquisas, coordenação de trabalho e rendimento, pesquisa nacional por amostra de domicílios 2009.;;;;;
(1) inclusive as pessoas de cor ou raça amarela, indígena ou sem declaração. (2) inclusive as pessoas com nível de instrução não determinado. (3) ex-;;;;;
