;Unnamed: 1_level_0;Própria residência ou de terceiros;Estabele-cimento comercial;Via pública;Transporte Coletivo;Outro
Brasil (1);0.0;1.2339798306701455;2.7084885558821044;1.9426622273621033;4.658522142743948;3.2860699153187825
Sem instrução;0;2.25;12.78;8.0;21.14;13.85
Fundamental incompleto ou equivalente;0;1.69;5.15;3.87;8.33;5.2
Fundamental completo ou equivalente;0;3.28;7.48;5.33;13.09;9.92
Médio incompleto ou equivalente;0;4.2;8.65;5.03;13.94;9.64
Médio completo ou equivalente;0;2.38;4.69;3.12;8.2;7.31
Superior incompleto ou equivalente;0;5.58;9.85;4.97;11.68;12.71
Superior completo ou equivalente;0;4.03;7.46;4.24;14.64;9.14
Norte (1);0;2.28;7.52;5.83;14.49;8.86
Sem instrução;0;3.73;34.27;24.56;74.53;74.8
Fundamental incompleto ou equivalente;0;4.12;13.18;13.23;23.3;14.13
Fundamental completo ou equivalente;0;6.57;18.64;16.62;27.86;20.93
Médio incompleto ou equivalente;0;8.06;26.93;12.52;50.02;18.07
Médio completo ou equivalente;0;4.09;14.03;9.58;25.32;18.31
Superior incompleto ou equivalente;0;9.79;32.04;18.77;41.5;28.07
Superior completo ou equivalente;0;7.6;26.31;16.67;49.5;26.9
Nordeste (1);0;2.37;5.46;4.05;8.61;5.62
Sem instrução;0;3.01;19.31;10.77;42.9;18.31
Fundamental incompleto ou equivalente;0;3.84;9.68;7.51;14.75;10.39
Fundamental completo ou equivalente;0;5.93;14.98;11.45;21.99;17.59
Médio incompleto ou equivalente;0;8.0;15.17;9.97;29.34;20.51
Médio completo ou equivalente;0;4.81;9.29;6.19;13.03;13.2
Superior incompleto ou equivalente;0;12.77;20.14;10.74;21.74;23.96
Superior completo ou equivalente;0;7.67;13.81;9.49;27.56;19.47
Sudeste (1);0;2.55;4.66;2.97;8.42;5.94
Sem instrução;0;5.96;31.11;13.17;39.61;32.2
Fundamental incompleto ou equivalente;0;3.24;9.81;6.26;16.44;9.1
Fundamental completo ou equivalente;0;6.85;12.77;7.69;30.11;20.38
Médio incompleto ou equivalente;0;9.37;16.06;8.01;24.9;15.5
Médio completo ou equivalente;0;5.14;7.78;4.91;14.75;12.69
Superior incompleto ou equivalente;0;11.6;16.47;7.29;20.11;23.28
Superior completo ou equivalente;0;7.56;12.42;5.78;24.99;15.11
Sul (1);0;2.63;6.48;4.66;11.45;8.37
Sem instrução;0;8.0;33.48;34.12;50.18;32.61
Fundamental incompleto ou equivalente;0;3.02;13.22;9.03;22.11;12.1
Fundamental completo ou equivalente;0;6.17;17.83;12.88;30.09;21.46
Médio incompleto ou equivalente;0;9.06;20.06;13.06;41.56;35.04
Médio completo ou equivalente;0;4.57;11.19;7.73;23.12;19.46
Superior incompleto ou equivalente;0;9.13;20.42;11.88;25.09;32.74
Superior completo ou equivalente;0;7.58;14.88;10.23;32.41;19.32
Centro-Oeste (1);0;2.86;6.25;4.86;9.84;7.83
Sem instrução;0;5.14;34.33;42.07;33.43;43.61
Fundamental incompleto ou equivalente;0;3.95;10.54;9.1;15.72;11.48
Fundamental completo ou equivalente;0;8.6;17.65;14.4;29.01;24.9
Médio incompleto ou equivalente;0;8.71;21.82;12.56;20.04;20.67
Médio completo ou equivalente;0;5.44;10.28;8.48;16.08;15.61
Superior incompleto ou equivalente;0;13.03;22.74;11.95;23.2;27.17
Superior completo ou equivalente;0;8.79;17.53;11.35;28.79;17.67
