;total;falta de provas;não era importante;não acreditavam na polícia;não queriam envolver a polícia ou medo de represália;outro
brasil;0;2.44;2.37;2.46;3.24;3.93
dinheiro, cartão de débito ou crédito, ou cheque;0;4.55;5.01;5.03;6.47;6.77
telefone celular;0;4.25;4.09;4.24;5.81;7.08
documentos ou objetos pessoais;0;5.54;5.47;5.8;7.41;8.28
carro, motocicleta ou bicicleta;0;6.34;7.02;4.77;7.57;9.57
outro;0;3.73;3.57;3.73;5.03;5.69
norte;0;5.99;6.91;5.7;8.07;11.42
dinheiro, cartão de débito ou crédito, ou cheque;0;9.75;14.59;11.79;15.06;21.37
telefone celular;0;10.75;11.01;9.25;16.18;23.82
documentos ou objetos pessoais;0;11.6;12.7;13.37;20.81;29.42
carro, motocicleta ou bicicleta;0;15.06;18.83;8.19;24.75;22.95
outro;0;8.86;10.09;9.64;13.43;14.83
nordeste;0;4.83;4.31;4.87;5.81;7.29
dinheiro, cartão de débito ou crédito, ou cheque;0;7.96;8.76;9.52;11.49;13.06
telefone celular;0;7.04;6.19;6.82;9.45;12.27
documentos ou objetos pessoais;0;10.69;10.72;10.79;12.67;19.1
carro, motocicleta ou bicicleta;0;12.0;12.34;7.87;12.32;19.07
outro;0;6.48;6.9;7.19;7.81;10.67
sudeste;0;4.46;4.65;4.64;5.73;6.68
dinheiro, cartão de débito ou crédito, ou cheque;0;9.02;9.17;8.4;10.7;10.83
telefone celular;0;8.26;7.67;8.05;9.88;10.94
documentos ou objetos pessoais;0;11.72;11.87;11.05;13.86;13.13
carro, motocicleta ou bicicleta;0;12.68;14.99;11.23;14.21;16.84
outro;0;8.29;7.58;8.13;9.58;10.71
sul;0;5.82;5.46;5.79;7.97;8.74
dinheiro, cartão de débito ou crédito, ou cheque;0;11.75;11.64;13.08;19.16;15.76
telefone celular;0;13.52;13.0;12.26;18.54;21.34
documentos ou objetos pessoais;0;12.22;11.33;14.77;15.9;18.12
carro, motocicleta ou bicicleta;0;15.51;15.69;13.34;18.2;19.7
outro;0;8.17;7.02;7.32;11.7;11.45
centro-oeste;0;5.3;5.2;6.15;9.13;9.7
dinheiro, cartão de débito ou crédito, ou cheque;0;10.02;13.24;12.03;19.29;16.27
telefone celular;0;9.19;8.96;11.99;16.16;16.06
documentos ou objetos pessoais;0;11.89;11.84;12.03;21.93;18.76
carro, motocicleta ou bicicleta;0;13.97;17.63;11.5;17.36;19.01
