;Unnamed: 1_level_0;Empregados;Trabalhadores domésticos;Conta própria;Empregadores ;Outra
               Brasil;0.0;1.0691989804007813;4.548917172265386;2.008499678569978;3.946162825995749;6.429833439874093
Situação do domicílio;;;;;;
Urbana;0.0;1.05;4.71;2.18;4.11;6.67
Rural;0.0;5.96;20.53;4.87;15.68;10.48
Grandes Regiões e Unidades da Federação;;;;;;
Norte;0.0;3.3;10.26;4.8;10.02;12.32
Rondônia;0.0;6.14;21.14;11.13;24.94;23.74
Acre;0.0;5.42;19.9;13.01;42.54;26.31
Amazonas;0.0;7.06;30.46;11.1;34.03;36.02
Roraima;0.0;7.99;36.75;21.97;55.36;71.97
Pará;0.0;6.52;19.44;7.21;14.14;20.62
Amapá;0.0;10.58;29.96;20.31;47.93;68.86
Tocantins;0.0;8.28;30.31;11.6;27.95;20.68
Nordeste;0.0;2.43;9.32;3.57;8.0;11.6
Maranhão;0.0;10.93;25.17;12.74;23.01;37.14
Piauí;0.0;9.61;46.77;12.34;25.29;21.95
Ceará;0.0;4.62;15.65;7.18;16.69;22.39
Rio Grande do Norte;0.0;6.58;41.6;16.02;26.49;29.84
Paraíba;0.0;9.44;33.28;12.61;42.91;36.25
Pernambuco;0.0;5.78;20.25;9.76;26.42;28.09
Alagoas;0.0;7.92;56.59;19.57;32.19;15.53
Sergipe;0.0;8.1;34.67;18.96;27.37;42.13
Bahia;0.0;4.97;14.81;5.78;16.84;18.33
Sudeste;0.0;1.77;8.86;4.12;7.14;13.48
Minas Gerais;0.0;2.88;16.11;5.36;9.17;15.76
Espírito Santo;0.0;7.11;34.89;12.2;24.63;39.27
Rio de Janeiro;0.0;3.94;18.15;9.37;22.31;
São Paulo;0.0;2.65;13.66;7.4;12.14;24.13
Sul;0.0;2.29;10.2;4.51;8.36;12.56
Paraná;0.0;3.56;15.4;6.94;13.54;27.26
Santa Catarina;0.0;4.99;30.08;11.93;17.33;23.22
Rio Grande do Sul;0.0;3.5;14.86;6.45;13.48;16.99
Centro-Oeste;0.0;2.49;9.29;5.1;9.09;16.65
Mato Grosso do Sul;0.0;6.56;18.88;11.64;14.64;31.27
Mato Grosso;0.0;5.68;19.57;11.49;23.93;29.67
Goiás;0.0;3.66;14.59;7.16;15.68;27.09
