;total;falta de provas;não era importante;não acreditavam na polícia;não queriam envolver a polícia ou medo de represália;outro
brasil (1);0.0;2.45;2.37;2.46;3.25;3.94
sem rendimento a menos de 1/4 do salário mínimo (2);0.0;6.62;8.46;10.37;9.14;13.34
1/4 a menos de 1/2 salário mínimo ;0.0;5.52;5.49;6.03;7.86;9.72
1/2 a menos de 1 salário mínimo ;0.0;4.02;4.42;4.8;5.94;7.3
1 a menos de 2 salários mínimos ;0.0;4.47;4.53;4.23;6.03;6.71
2 salários mínimos ou mais ;0.0;5.2;4.84;4.44;7.69;8.04
norte (1);0.0;6.04;6.89;5.68;8.09;11.49
sem rendimento a menos de 1/4 do salário mínimo (2);0.0;13.62;20.08;20.03;20.72;36.72
1/4 a menos de 1/2 salário mínimo ;0.0;11.22;12.67;10.92;19.61;25.07
1/2 a menos de 1 salário mínimo ;0.0;7.86;9.9;8.84;11.1;16.19
1 a menos de 2 salários mínimos ;0.0;13.31;13.92;10.03;19.93;22.98
2 salários mínimos ou mais ;0.0;15.37;13.54;12.02;34.51;25.26
nordeste (1);0.0;4.85;4.34;4.88;5.81;7.33
sem rendimento a menos de 1/4 do salário mínimo (2);0.0;8.86;12.4;15.11;12.31;18.81
1/4 a menos de 1/2 salário mínimo ;0.0;7.92;8.43;8.61;12.62;16.91
1/2 a menos de 1 salário mínimo ;0.0;6.65;7.64;8.42;10.32;14.83
1 a menos de 2 salários mínimos ;0.0;9.59;9.99;8.63;10.46;15.95
2 salários mínimos ou mais ;0.0;11.69;9.25;9.05;16.51;15.84
sudeste (1);0.0;4.46;4.65;4.65;5.73;6.7
sem rendimento a menos de 1/4 do salário mínimo (2);0.0;21.73;22.0;23.31;22.64;28.28
1/4 a menos de 1/2 salário mínimo ;0.0;15.45;11.3;17.82;15.81;19.24
1/2 a menos de 1 salário mínimo ;0.0;8.37;9.79;10.23;11.07;12.18
1 a menos de 2 salários mínimos ;0.0;8.81;8.16;7.8;9.81;10.71
2 salários mínimos ou mais ;0.0;8.87;8.76;8.15;11.32;12.77
sul (1);0.0;5.8;5.44;5.81;8.0;8.82
sem rendimento a menos de 1/4 do salário mínimo (2);0.0;17.98;20.38;39.21;24.88;43.57
1/4 a menos de 1/2 salário mínimo ;0.0;15.84;18.54;20.08;19.46;28.61
1/2 a menos de 1 salário mínimo ;0.0;12.5;10.78;13.14;20.78;19.71
1 a menos de 2 salários mínimos ;0.0;8.46;9.79;9.14;14.35;13.01
2 salários mínimos ou mais ;0.0;10.46;9.86;8.4;17.83;13.42
centro-oeste (1);0.0;5.32;5.24;6.22;9.12;9.68
sem rendimento a menos de 1/4 do salário mínimo (2);0.0;25.4;24.98;37.17;47.64;41.22
1/4 a menos de 1/2 salário mínimo ;0.0;16.97;17.76;20.88;20.41;20.7
1/2 a menos de 1 salário mínimo ;0.0;9.46;10.74;11.61;16.11;17.34
1 a menos de 2 salários mínimos ;0.0;8.39;9.24;10.58;16.48;16.35
2 salários mínimos ou mais ;0.0;12.86;10.81;10.83;20.52;20.53
