;Unnamed: 1_level_0;Sem instrução;Fundamental ou equivalente;Fundamental ou equivalente;Médio ou equivalente;Médio ou equivalente;Superior ou equivalente;Superior ou equivalente
;;Unnamed: 2_level_1;Incompleto ;Completo ;Incompleto ;Completo ;Incompleto ;Completo 
               Brasil;1.64;4.17;2.39;3.16;3.81;2.31;4.14;3.75
Situação do domicílio;;;;;;;;
Urbana;1.76;4.74;2.58;3.3;3.95;2.36;4.16;3.79
Rural;4.97;8.99;5.62;12.37;14.95;11.61;29.01;27.1
Grandes Regiões e Unidades da Federação;;;;;;;;
Norte;4.25;11.02;5.55;7.85;8.6;5.44;10.52;8.95
Rondônia;9.38;20.16;14.87;19.48;23.28;13.63;23.67;25.62
Acre;10.25;19.34;20.38;19.56;25.99;13.15;18.82;22.31
Amazonas;11.62;27.69;15.74;23.21;20.41;14.2;33.94;28.1
Roraima;10.37;45.05;22.75;27.42;26.39;14.66;34.45;39.07
Pará;7.41;19.44;8.74;13.67;13.61;9.42;23.18;13.04
Amapá;13.63;38.98;19.43;22.68;31.94;16.9;31.95;38.13
Tocantins;11.59;23.04;8.36;18.04;29.7;17.79;20.83;23.59
Nordeste;3.93;6.87;5.73;6.52;7.67;4.69;8.3;8.04
Maranhão;18.22;23.68;24.88;21.57;32.95;15.25;32.08;26.94
Piauí;13.25;11.12;14.16;28.08;30.87;21.42;39.55;43.27
Ceará;7.06;13.89;7.37;11.2;13.95;9.78;17.13;17.5
Rio Grande do Norte;10.88;25.5;14.77;24.74;22.36;18.66;27.74;30.75
Paraíba;11.57;30.13;16.44;31.35;32.73;19.8;36.13;32.84
Pernambuco;6.01;14.77;9.92;17.78;18.97;9.73;17.64;18.31
Alagoas;11.04;25.93;13.55;27.51;31.54;20.62;40.94;36.14
Sergipe;9.41;23.32;16.86;17.73;26.42;24.15;25.06;27.44
Bahia;5.71;13.97;7.11;11.64;11.67;9.03;16.95;13.88
Sudeste;2.8;8.52;4.17;5.73;7.08;4.1;7.24;6.12
Minas Gerais;4.96;10.08;6.79;9.56;11.29;6.99;13.99;11.05
Espírito Santo;10.31;25.28;13.06;20.24;23.09;14.8;28.91;22.91
Rio de Janeiro;5.69;17.81;8.72;13.44;16.89;9.73;14.57;13.34
São Paulo;4.23;17.11;6.78;8.74;10.98;6.0;10.48;8.6
Sul;3.23;10.66;4.8;6.49;9.64;5.49;8.51;8.23
Paraná;4.69;17.66;7.39;10.9;15.34;9.73;14.45;11.52
Santa Catarina;7.64;18.33;11.28;11.83;22.5;11.22;19.0;18.86
Rio Grande do Sul;5.25;17.98;7.29;10.7;14.59;7.8;12.47;14.8
Centro-Oeste;3.18;9.78;4.81;7.53;7.62;5.24;10.09;7.91
Mato Grosso do Sul;7.28;19.69;11.14;15.32;14.62;12.99;25.81;23.33
Mato Grosso;7.15;24.49;9.45;19.44;18.43;12.63;20.59;18.03
Goiás;4.89;12.91;7.14;11.19;11.57;7.73;17.85;11.89
Distrito Federal;6.58;39.66;12.21;17.33;15.75;10.9;17.14;14.43
