;Total;Local de ocorrência do último furto;Local de ocorrência do último furto;Local de ocorrência do último furto;Local de ocorrência do último furto;Local de ocorrência do último furto
;;Própria residência ou de terceiros;Estabelecimento comercial;Via pública;"Transporte
coletivo";Outro
               Brasil;1.64;2.15;3.21;2.46;4.63;3.68
Situação do domicílio;;;;;;
Urbana;1.76;2.26;3.29;2.55;4.66;3.96
Rural;4.97;6.11;13.52;9.99;31.84;11.94
Grandes Regiões e Unidades da Federação;;;;;;
Norte;4.25;5.05;8.05;7.39;14.59;9.46
Rondônia;9.38;10.19;21.74;16.41;76.19;22.89
Acre;10.25;8.8;17.99;21.91;71.08;34.36
Amazonas;11.62;17.76;23.48;15.6;18.74;24.42
Roraima;10.37;13.31;29.92;20.5;;30.82
Pará;7.41;8.9;13.97;12.65;26.61;16.07
Amapá;13.63;15.22;28.23;28.31;97.79;30.44
Tocantins;11.59;11.46;18.52;25.06;100.01;25.74
Nordeste;3.93;4.78;7.21;5.18;8.37;7.21
Maranhão;18.22;18.08;28.33;28.26;60.87;24.54
Piauí;13.25;17.33;21.06;16.75;59.39;23.61
Ceará;7.06;8.77;12.34;9.19;13.25;15.47
Rio Grande do Norte;10.88;14.37;21.07;20.8;25.63;21.83
Paraíba;11.57;14.41;20.55;18.33;48.68;30.61
Pernambuco;6.01;8.74;13.68;9.02;18.01;14.94
Alagoas;11.04;18.95;19.16;16.54;42.1;33.04
Sergipe;9.41;12.56;16.49;15.33;23.26;23.52
Bahia;5.71;7.45;13.16;9.02;16.2;11.98
Sudeste;2.8;4.05;5.49;3.96;8.42;6.42
Minas Gerais;4.96;6.53;8.11;6.45;15.55;9.84
Espírito Santo;10.31;12.98;20.07;15.52;36.17;23.78
Rio de Janeiro;5.69;9.16;14.65;7.79;14.31;15.56
São Paulo;4.23;6.5;8.15;5.93;13.31;9.69
Sul;3.23;4.69;6.8;5.05;11.2;9.03
Paraná;4.69;6.18;9.59;8.92;14.25;13.63
Santa Catarina;7.64;9.27;13.25;12.61;57.53;19.45
Rio Grande do Sul;5.25;8.42;13.62;6.65;18.49;14.93
Centro-Oeste;3.18;4.49;6.92;5.54;10.25;8.44
Mato Grosso do Sul;7.28;9.45;16.05;11.73;44.12;18.98
Mato Grosso;7.15;8.97;15.05;15.09;39.21;24.09
Goiás;4.89;7.13;10.96;8.81;12.15;11.63
