;unnamed: 1_level_0;sem instrução;fundamental ou equivalente;fundamental ou equivalente;médio ou equivalente;médio ou equivalente;superior ou equivalente;superior ou equivalente
;total;unnamed: 2_level_1;incompleto;completo;incompleto;completo;incompleto;completo
               brasil;1.63;4.23;2.41;3.07;3.69;2.19;3.91;3.37
urbana;1.59;4.55;2.42;3.14;3.74;2.21;3.92;3.39
rural;4.6;8.47;5.43;11.95;14.58;11.13;29.22;25.7
norte;4.16;10.95;5.43;7.45;8.16;4.89;10.28;8.2
rondônia;8.94;21.41;14.69;18.47;22.88;13.23;21.13;19.78
acre;10.61;17.09;19.84;18.05;25.64;13.39;17.0;18.38
amazonas;11.47;26.39;15.48;22.22;19.76;13.28;32.54;25.62
roraima;10.48;44.43;22.42;26.2;23.76;13.97;31.07;27.57
pará;7.22;19.18;8.39;12.91;12.52;8.11;23.98;13.51
amapá;13.54;35.03;22.25;20.85;32.75;16.05;29.03;31.89
tocantins;11.69;23.57;10.32;18.52;31.56;15.99;17.14;21.1
nordeste;3.87;7.26;5.8;6.39;7.3;4.06;7.91;6.71
maranhão;17.62;27.12;25.39;23.17;29.85;11.8;36.31;27.36
piauí;13.13;15.51;15.37;22.95;29.1;16.5;38.03;34.85
ceará;7.14;13.98;7.93;10.38;13.41;8.65;15.24;13.52
rio grande do norte;10.77;28.04;14.36;23.23;20.51;17.87;27.48;24.15
paraíba;11.63;30.52;16.33;30.9;34.69;16.23;31.88;23.28
pernambuco;6.04;13.71;10.32;17.85;18.94;10.17;15.81;15.29
alagoas;10.75;27.98;13.26;26.97;30.81;18.46;36.68;30.28
sergipe;9.21;15.74;15.27;16.36;25.46;20.21;25.94;21.17
bahia;5.68;14.72;7.11;11.68;10.94;7.89;15.48;12.03
sudeste;2.8;8.11;4.21;5.55;6.96;4.06;6.87;5.66
minas gerais;4.96;9.82;6.98;8.81;10.83;6.63;12.99;10.49
espírito santo;10.3;24.43;13.54;20.35;23.07;13.84;24.99;21.08
rio de janeiro;5.71;16.85;8.86;13.21;16.52;9.55;13.96;12.59
são paulo;4.22;16.27;6.77;8.52;10.87;6.0;9.97;7.88
sul;3.2;10.24;4.85;6.32;9.19;5.05;7.81;6.82
paraná;4.63;17.29;7.37;10.12;14.63;8.79;13.57;10.03
santa catarina;7.61;18.36;11.0;11.7;21.02;9.49;18.62;13.47
rio grande do sul;5.2;16.45;7.54;10.93;14.0;7.76;10.68;12.97
centro-oeste;3.19;9.55;4.73;7.24;7.27;4.93;9.37;6.95
mato grosso do sul;7.2;18.73;11.03;14.38;14.0;13.34;21.9;19.99
mato grosso;7.06;23.88;9.82;17.11;16.83;11.72;18.79;14.66
goiás;5.01;12.61;6.86;11.17;11.35;7.09;17.0;11.6
distrito federal;6.48;40.44;11.78;16.84;15.53;10.2;16.34;11.95
