;coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias, mas não fizeram registro do último furto na delegacia de polícia (%);coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias, mas não fizeram registro do último furto na delegacia de polícia (%);coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias, mas não fizeram registro do último furto na delegacia de polícia (%);coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias, mas não fizeram registro do último furto na delegacia de polícia (%);coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias, mas não fizeram registro do último furto na delegacia de polícia (%);coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias, mas não fizeram registro do último furto na delegacia de polícia (%);coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que procuraram a polícia em decorrência do último furto que foram vítimas, no período de referência de 365 dias, mas não fizeram registro do último furto na delegacia de polícia (%)
;total;motivo de não terem feito o registro do último furto na delegacia de polícia;motivo de não terem feito o registro do último furto na delegacia de polícia.1;motivo de não terem feito o registro do último furto na delegacia de polícia.2;motivo de não terem feito o registro do último furto na delegacia de polícia.3;motivo de não terem feito o registro do último furto na delegacia de polícia.4;motivo de não terem feito o registro do último furto na delegacia de polícia.5
total (1);0.0;10.636172591426853;15.288005776126447;12.430296162356761;13.68104707747419;8.660917699629042;10.383662688709371
homens;0.0;14.675630636569457;20.675970700681862;16.878764513581217;19.055847286360972;10.636593491668428;14.779961807229496
mulheres;0.0;15.490222539018289;21.248883825518945;18.042104435864502;18.279722104002822;13.070118357802627;13.011561975438665
branca;0.0;14.62440834463312;19.960729605430878;18.795492884853786;21.54305451416577;13.060835951443762;13.723706900397012
preta ou parda;0.0;15.154967692068759;22.292470279754035;16.284102364183028;17.551545952186842;11.460709098069918;13.878252438578093
preta;0.0;56.316000606399285;56.446519139113775;51.392793049017925;26.590767961661914;24.65484712715049;59.579596395767226
parda;0.0;15.630629090924101;22.9762914858985;16.64036703548693;21.218191382683322;12.938976299815792;13.992409176012249
10 a 24 anos;0.0;20.38256629974401;32.59327328632798;34.15114083810845;29.65255921634826;22.557947832432447;25.346135738448044
25 a 34 anos;0.0;24.003291253638462;35.02161434845316;21.280752462662544;26.72290012025701;15.029580998604573;18.233156524823837
35 a 39 anos;0.0;26.05635473826653;38.73475985107684;40.37501014076834;42.37637385659262;30.05703786324813;28.9122971266794
40 a 49 anos;0.0;27.863036845296104;37.566561594498175;28.219981395672207;30.264175454287873;16.490905195849404;19.87154541015746
50 anos ou mais;0.0;20.72093664601826;27.115964463854063;22.993499842525683;24.86874315208107;16.570550109932228;19.753737257638345
total (2)(3);0.0;10.636172591426853;15.288005776126447;12.430296162356761;13.68104707747419;8.660917699629042;10.383662688709371
sem rendimento a menos de 1/4 do salário mínimo (2) (4) ;0.0;19.065195968948096;60.97214541027194;47.102383964593045;39.834620847143384;32.63326743473833;40.295884614188004
1/4 a menos de 1/2 salário mínimo (2);0.0;25.591258675080354;45.57767820848012;36.058278485012245;27.884553916312925;17.136892003897948;28.57077661074469
1/2 a menos de 1 salário mínimo (2);0.0;24.178137259022847;31.974146083887966;22.139874804831983;26.159299548110486;16.743891198874064;19.039714650452936
1 a menos de 2 salários mínimos (2) ;0.0;19.95194270621711;30.97452902029548;27.472080066848267;30.76771139843203;18.385719009451684;15.306220183518155
2 salários mínimos ou mais (2) ;0.0;38.708855323284226;25.51665265969307;21.47311983075546;30.156861641640536;21.239439435509794;24.2285160714433
