Brasil (1);1.9199876671637548;3.317317856780621;2.9760918489617034;3.0569654860866082;3.813741821458291;4.154858651375722
Sem instrução;4.761748870594536;8.196208051883891;9.064206762850208;9.95580655686656;8.620127481600058;12.72151093908895
Fundamental incompleto ou equivalente;2.71;4.67;4.62;5.03;5.29;6.64
Fundamental completo ou equivalente;3.92;7.89;7.73;8.06;10.28;11.41
Médio incompleto ou equivalente;4.34;8.27;8.28;7.88;11.78;12.33
Médio completo ou equivalente;2.91;5.68;5.09;5.45;8.12;7.67
Superior incompleto ou equivalente;5.45;11.19;10.03;9.76;16.67;14.91
Superior completo ou equivalente;5.07;9.64;8.56;8.69;14.55;11.48
Norte (1);4.93;8.24;8.79;6.31;9.38;13.04
Sem instrução;11.91;15.85;22.72;22.64;21.63;38.51
Fundamental incompleto ou equivalente;6.33;11.23;13.97;9.63;15.26;19.57
Fundamental completo ou equivalente;10.08;19.24;19.23;19.0;21.03;29.4
Médio incompleto ou equivalente;9.42;15.31;16.94;15.51;36.3;33.57
Médio completo ou equivalente;6.57;12.67;12.13;11.53;16.4;21.02
Superior incompleto ou equivalente;14.48;26.83;28.14;28.48;49.57;71.15
Superior completo ou equivalente;11.48;24.78;24.39;26.67;44.48;28.05
Nordeste (1);4.34;7.23;5.52;6.38;7.55;7.4
Sem instrução;7.54;12.21;12.49;17.2;12.52;16.9
Fundamental incompleto ou equivalente;5.94;9.2;8.82;11.39;10.59;12.88
Fundamental completo ou equivalente;7.28;14.36;14.14;13.02;23.9;20.69
Médio incompleto ou equivalente;8.23;15.88;14.56;14.66;21.99;22.55
Médio completo ou equivalente;5.44;12.18;8.12;9.12;12.21;14.11
Superior incompleto ou equivalente;9.84;22.11;17.18;16.22;29.5;38.08
Superior completo ou equivalente;10.14;22.09;16.73;16.67;24.95;23.12
Sudeste (1);3.27;5.62;5.89;5.71;6.41;7.21
Sem instrução;9.87;19.33;22.99;20.77;16.98;25.69
Fundamental incompleto ou equivalente;4.73;8.71;8.67;10.08;8.75;11.26
Fundamental completo ou equivalente;7.4;15.33;15.68;16.55;16.88;19.68
Médio incompleto ou equivalente;8.38;20.48;16.85;14.81;18.78;23.32
Médio completo ou equivalente;5.56;10.23;10.62;10.74;17.0;13.2
Superior incompleto ou equivalente;10.47;23.4;19.55;19.47;23.98;23.03
Superior completo ou equivalente;8.85;16.72;14.47;16.96;22.99;19.31
Sul (1);4.07;7.5;6.47;7.05;9.14;9.38
Sem instrução;11.86;20.12;27.16;25.02;40.98;41.5
Fundamental incompleto ou equivalente;6.36;11.41;10.6;10.71;12.71;15.52
Fundamental completo ou equivalente;8.33;16.52;16.02;18.45;22.14;26.16
Médio incompleto ou equivalente;11.47;17.93;25.83;18.64;32.52;28.88
Médio completo ou equivalente;7.09;13.58;11.84;14.71;23.69;17.03
Superior incompleto ou equivalente;10.65;23.79;24.18;20.77;40.94;24.54
Superior completo ou equivalente;11.09;21.82;17.02;16.37;44.87;21.04
Centro-Oeste (1);3.67;6.64;6.45;7.18;9.47;10.28
Sem instrução;12.33;27.12;28.81;23.37;25.71;40.46
Fundamental incompleto ou equivalente;5.26;9.67;10.83;10.28;13.93;16.41
Fundamental completo ou equivalente;10.52;18.48;19.11;23.87;31.5;28.21
Médio incompleto ou equivalente;9.26;18.85;15.72;20.32;30.69;26.82
Médio completo ou equivalente;6.4;11.63;12.37;13.49;19.59;17.61
Superior incompleto ou equivalente;13.41;26.68;21.94;26.95;45.82;45.77
Superior completo ou equivalente;10.53;20.68;20.69;17.2;41.61;27.77
