;unnamed: 1_level_0;sem instrução;fundamental ou equivalente;fundamental ou equivalente;médio ou equivalente;médio ou equivalente;superior ou equivalente;superior ou equivalente
;unnamed: 1_level_1;unnamed: 2_level_1;incompleto;completo;incompleto;completo;incompleto;completo
               brasil;1.23;3.37;1.8;2.44;2.66;1.64;3.06;2.97
situação do domicílio;;;;;;;;
urbana;1.33;3.78;1.98;2.55;2.77;1.68;3.09;2.99
rural;4.99;7.92;5.41;11.03;12.21;10.79;18.92;20.47
grandes regiões e unidades da federação;;;;;;;;
norte;3.18;8.82;4.57;5.71;5.56;4.11;7.23;7.23
rondônia;7.86;20.95;10.95;17.57;17.5;11.96;18.62;23.2
acre;7.22;15.13;17.23;15.08;18.81;10.55;19.97;19.37
amazonas;9.12;23.78;11.69;16.31;17.48;10.78;23.78;21.64
roraima;8.73;34.62;17.09;17.45;22.05;12.4;35.04;40.14
pará;4.49;14.58;6.61;8.0;7.2;5.86;10.83;10.3
amapá;15.82;32.71;21.85;22.71;19.31;16.82;22.04;33.86
tocantins;11.62;20.74;8.77;19.69;23.61;14.34;23.38;20.18
nordeste;2.82;5.38;3.92;4.86;5.17;3.27;5.68;5.84
maranhão;15.86;20.11;20.05;22.31;29.49;13.82;26.29;27.69
piauí;10.47;12.15;12.75;23.16;21.69;15.45;26.36;28.37
ceará;4.31;11.0;5.41;7.67;6.76;6.04;10.71;10.92
rio grande do norte;6.11;13.59;11.4;15.54;16.15;10.53;20.5;24.08
paraíba;10.01;20.32;9.32;21.61;16.48;15.95;29.39;27.93
pernambuco;4.3;13.55;6.66;9.58;9.85;5.54;11.45;11.27
alagoas;7.74;17.76;9.84;19.98;20.33;17.34;32.75;26.83
sergipe;6.61;23.92;11.92;15.56;17.5;16.14;21.54;25.32
bahia;4.0;9.46;5.3;8.38;7.61;5.49;10.15;9.92
sudeste;1.96;6.82;3.07;4.32;5.01;2.75;5.24;4.76
minas gerais;3.82;8.94;5.5;8.04;8.37;5.11;9.38;8.72
espírito santo;6.68;22.28;9.36;14.63;17.32;11.0;22.26;20.85
rio de janeiro;4.03;14.44;6.4;8.87;10.24;5.96;9.89;9.24
são paulo;2.88;12.12;4.79;6.48;7.7;3.92;7.93;6.8
sul;2.64;9.63;4.02;5.51;7.19;4.17;6.64;6.92
paraná;3.86;15.9;6.03;9.34;11.04;6.95;11.29;9.98
santa catarina;7.71;16.97;11.07;11.79;20.43;11.62;18.82;17.58
rio grande do sul;3.91;15.7;5.89;7.9;10.62;5.28;8.87;11.18
centro-oeste;2.47;8.38;3.75;6.12;5.67;4.33;7.76;6.63
mato grosso do sul;6.87;18.4;9.5;14.31;14.06;10.63;20.81;20.84
mato grosso;5.38;20.22;7.75;15.02;13.5;10.08;17.97;15.42
goiás;3.89;10.98;5.78;9.53;9.04;7.2;13.46;9.78
distrito federal;4.48;33.63;7.94;12.13;9.88;7.34;11.59;11.24
