;Unnamed: 1_level_0;Empregados;Trabalhadores domésticos;Conta própria;Empregadores ;Outra
               Brasil;0.0;0.7041419779377752;3.244704209382264;1.6027649023792743;3.0798535213068674;4.900146142782441
Situação do domicílio;;;;;;
Urbana;0.0;0.69;3.39;1.69;3.21;5.46
Rural;0.0;4.77;13.54;4.61;12.77;8.62
Grandes Regiões e Unidades da Federação;;;;;;
Norte;0.0;2.0;6.84;3.76;8.45;9.72
Rondônia;0.0;4.6;18.15;10.09;19.76;24.03
Acre;0.0;4.38;18.78;10.2;29.69;24.75
Amazonas;0.0;5.6;16.91;9.27;29.22;31.87
Roraima;0.0;6.72;23.84;16.46;56.59;72.86
Pará;0.0;2.98;9.84;5.29;12.2;14.18
Amapá;0.0;8.43;23.86;17.73;27.23;46.41
Tocantins;0.0;5.89;27.9;11.67;25.04;18.38
Nordeste;0.0;1.46;5.53;2.61;5.92;8.29
Maranhão;0.0;7.19;16.67;8.77;19.04;25.1
Piauí;0.0;6.01;31.26;9.69;23.57;19.42
Ceará;0.0;2.88;9.28;5.75;13.41;17.35
Rio Grande do Norte;0.0;5.5;23.48;14.29;20.61;20.62
Paraíba;0.0;4.78;16.85;10.68;25.47;27.67
Pernambuco;0.0;3.06;13.57;6.16;14.84;22.57
Alagoas;0.0;6.21;33.22;15.52;22.79;20.75
Sergipe;0.0;7.28;30.67;13.21;27.78;43.58
Bahia;0.0;2.56;10.17;4.48;11.37;15.12
Sudeste;0.0;1.16;6.77;3.26;5.25;10.63
Minas Gerais;0.0;2.15;11.59;4.8;8.08;14.14
Espírito Santo;0.0;4.19;27.2;10.88;20.2;26.28
Rio de Janeiro;0.0;2.42;13.03;6.38;12.6;37.14
São Paulo;0.0;1.7;10.94;5.4;8.13;18.55
Sul;0.0;1.74;7.94;4.0;7.1;11.75
Paraná;0.0;2.63;12.51;6.47;11.37;23.79
Santa Catarina;0.0;4.62;24.35;10.5;17.39;23.47
Rio Grande do Sul;0.0;2.5;11.05;5.7;10.43;15.59
Centro-Oeste;0.0;1.7;7.44;4.16;7.84;12.62
Mato Grosso do Sul;0.0;4.73;17.25;9.26;12.98;24.16
Mato Grosso;0.0;3.55;18.63;8.58;18.95;18.84
Goiás;0.0;2.71;11.15;6.15;13.75;23.81
