;unnamed: 1_level_0;economicamente ativas;economicamente ativas;economicamente ativas;não economicamente ativas
;unnamed: 1_level_1;total;condição de ocupação na semana de referência;condição de ocupação na semana de referência.1;unnamed: 5_level_1
               brasil;1.212500302730626;1.210574480998833;1.2391256162581485;2.744525256806937;1.929984056050106
situação do domicílio;;;;;
urbana;1.145661632051496;1.1568809952619712;1.1816711295008953;2.7649260651276;1.8701775086572268
rural;4.297580439408661;4.2997372544688535;4.208156082317207;17.14617344863522;7.691198541964008
grandes regiões e unidades da federação;;;;;
norte;3.1235483045522314;3.2196377702358747;3.2033340984426264;6.328837797508157;4.044558324972398
rondônia;7.457958762790273;7.391551771513922;7.471400411819488;23.296420865350353;10.855053995503672
acre;7.60708826747242;5.818125659619507;5.584935384191996;40.518907932876395;17.91829973917722
amazonas;8.944400617505163;8.54166303868112;8.700220595539708;14.292134701515858;12.78606254723228
roraima;8.979938493501459;9.311316777208638;9.357576507810874;20.94084309040943;14.477794667811802
pará;4.3935020678873435;4.768856130920778;4.71459094787373;8.436693396819527;5.0778483010210484
amapá;15.653511763394572;13.179033219481271;13.514637991649835;21.906734944820556;22.20672479611324
tocantins;11.690766981928224;12.993812569331165;13.750837448594526;20.06589570178139;11.409317331301166
nordeste;2.7689339333251644;2.6253633478355174;2.753976621784568;4.180071335710358;4.1488996378538205
maranhão;15.209554052047624;13.42330328667025;13.854735487485724;17.968789946983897;20.595033951793297
piauí;10.34036632483823;10.798076027593286;10.71764909554867;22.627691378968954;14.758820978146607
ceará;4.349682815868399;4.344369967951338;4.674992341755137;8.027632492920207;6.063867058011534
rio grande do norte;6.125812387708056;6.978120422126707;7.741113597378045;11.842849746397839;9.709402842217456
paraíba;10.121232138701213;8.948318870104618;9.205290114986552;17.244137246040154;16.611281440315796
pernambuco;4.392379760276501;5.320309133634038;5.442347839748792;9.634477576327049;5.500600402760221
alagoas;7.399851217963419;7.860711398825461;8.34840480144714;20.98584441600816;12.693508419245
sergipe;6.467304310870898;7.82112266911668;9.04959147755941;14.759437404238632;7.595399205992895
bahia;3.9977542511311825;4.186445184052;4.462082549419997;7.200288004072742;6.370992334565606
sudeste;1.9497831763282725;2.01908331596897;2.044364876484723;5.2963669413514864;3.2301039522571595
minas gerais;3.813900408824891;3.959532306390768;4.0656034847126445;9.367589347564111;5.716322828761433
espírito santo;6.713185193158625;6.873814604505076;7.208720031159489;15.115157174764768;11.710747302839174
rio de janeiro;4.048160082848506;4.142986031891194;4.240582067456472;11.640452839633749;6.588875446715243
são paulo;2.854537961624078;2.9478684626905634;2.968193236142857;7.689038491434317;4.962776449971677
sul;2.6140248423712444;2.7804889494691776;2.8887913331161754;8.351474931314035;4.453341402688196
paraná;3.8035304508501007;4.192312979862285;4.219203030740385;12.667006344826241;6.282511206537711
santa catarina;7.6533804674141725;7.518213211089613;7.579054974184745;29.246323621412174;13.70889852768719
rio grande do sul;3.874509249795559;4.1674552472549005;4.5094788757070985;11.79756832639435;6.617505768167931
centro-oeste;2.4650585230669115;2.493463189624101;2.5209688914990163;6.718686815699386;4.551321491637465
mato grosso do sul;6.733447271752872;6.681555500384299;6.55325858541192;17.750772329113527;11.298966210159861
mato grosso;5.292400995243164;5.252730246141114;5.303349841495553;18.37048394441125;9.489615916156493
goiás;3.943963121034735;4.004129995155519;4.045521790620448;10.626056549541468;8.088911763625003
