;"Total
(1)";Classes de rendimento mensal domiciliar per capita (salário mínimo);Classes de rendimento mensal domiciliar per capita (salário mínimo);Classes de rendimento mensal domiciliar per capita (salário mínimo);Classes de rendimento mensal domiciliar per capita (salário mínimo);Classes de rendimento mensal domiciliar per capita (salário mínimo);Classes de rendimento mensal domiciliar per capita (salário mínimo)
;;"Menos
de 1/4 ";"1/4 a menos
de 1/2 ";"1/2 a menos
de 1 ";"1 a menos
de 2";2 ou mais ;"Sem
rendimento
(2)"
               Brasil;1.23;3.77;2.72;1.95;1.76;2.27;7.47
Situação do domicílio;;;;;;;
Urbana;1.34;4.29;2.99;2.09;1.84;2.33;7.93
Rural;4.99;8.94;7.91;7.24;7.78;9.1;19.55
Grandes Regiões e Unidades da Federação;;;;;;;
Norte;3.18;9.29;5.54;4.38;4.35;6.07;18.1
Rondônia;7.9;27.26;19.9;12.04;10.11;15.16;49.85
Acre;7.22;27.09;17.26;13.76;11.34;18.9;40.42
Amazonas;9.18;20.4;16.55;11.41;12.21;15.71;39.92
Roraima;8.63;28.56;19.79;18.53;19.25;26.08;95.05
Pará;4.47;12.85;7.21;6.21;6.36;9.68;25.45
Amapá;15.92;39.39;25.57;17.96;23.64;25.9;97.85
Tocantins;11.73;39.01;19.54;14.57;12.92;18.75;99.8
Nordeste;2.84;5.19;4.57;3.77;4.14;5.02;12.61
Maranhão;15.96;23.74;20.17;18.99;19.78;20.75;40.64
Piauí;10.48;21.92;17.84;17.49;18.19;23.28;48.93
Ceará;4.21;8.43;6.37;6.06;6.97;10.12;30.67
Rio Grande do Norte;6.08;21.99;15.36;9.6;12.13;16.57;57.72
Paraíba;10.04;17.19;14.01;12.16;18.68;27.48;61.06
Pernambuco;4.3;8.92;8.24;5.88;7.85;11.3;27.27
Alagoas;7.77;17.1;15.06;16.61;18.35;24.73;57.59
Sergipe;6.61;23.16;12.3;12.75;9.46;18.13;70.97
Bahia;4.0;8.54;7.28;5.43;6.65;8.27;20.08
Sudeste;1.97;9.09;5.73;3.58;2.86;3.64;16.41
Minas Gerais;3.82;12.75;9.89;6.38;4.92;6.09;33.65
Espírito Santo;6.73;27.61;13.77;12.01;9.34;15.28;55.47
Rio de Janeiro;4.03;22.88;12.35;7.79;6.45;7.39;31.39
São Paulo;2.89;16.86;9.63;5.48;4.25;5.35;24.16
Sul;2.63;14.25;7.21;4.94;4.07;4.68;17.12
Paraná;3.86;21.96;12.66;7.6;6.47;7.34;24.31
Santa Catarina;7.6;42.03;21.8;12.56;9.74;12.22;99.34
Rio Grande do Sul;3.91;19.57;9.19;7.58;6.14;6.74;22.45
Centro-Oeste;2.46;12.81;6.88;4.69;3.96;5.15;19.74
Mato Grosso do Sul;6.9;26.44;14.61;11.33;9.9;15.35;62.58
Mato Grosso;5.33;25.78;19.29;10.87;7.8;10.89;52.24
Goiás;3.86;22.7;10.02;7.23;6.15;8.87;28.31
Distrito Federal;4.48;21.94;14.84;9.8;9.22;8.66;34.33
Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2009.;;;;;;;
