;unnamed: 1_level_0;empregados;trabalhadores domésticos;conta própria;empregadores;outra
;1.2391256162581485;1.31148441883405;3.386606171511879;1.9593723054910974;3.053809133015038;5.372792786420667
Situação do domicílio;;;;;;
urbana;1.18;1.33;3.53;1.94;3.11;5.43
rural;4.21;6.29;13.63;5.24;12.82;9.13
grandes regiões e unidades da federação;;;;;;
norte;3.2;3.78;7.12;4.51;7.38;8.99
rondônia;7.47;7.89;20.6;12.15;22.22;26.59
acre;5.58;6.23;17.66;9.39;15.22;30.03
amazonas;8.7;11.55;19.61;10.6;30.68;31.7
roraima;9.36;12.2;30.79;11.75;56.33;70.26
pará;4.71;5.55;10.35;6.42;9.58;12.35
amapá;13.51;15.13;25.34;19.32;27.29;54.14
tocantins;13.75;15.9;20.56;17.64;23.08;21.35
nordeste;2.75;2.55;6.19;3.73;5.74;9.36
maranhão;13.85;11.97;23.66;15.15;22.5;30.78
piauí;10.72;10.72;30.09;16.59;21.91;20.77
ceará;4.67;4.5;10.84;6.08;13.79;20.98
rio grande do norte;7.74;6.94;21.8;14.05;15.49;28.67
paraíba;9.21;10.06;17.03;11.81;22.8;30.35
pernambuco;5.44;5.34;13.43;8.33;14.93;17.21
alagoas;8.35;10.08;30.91;15.81;19.14;16.8
sergipe;9.05;7.96;31.68;17.93;21.47;36.72
bahia;4.46;4.72;9.94;6.37;10.31;17.24
sudeste;2.04;2.24;6.87;3.65;5.27;10.96
minas gerais;4.07;4.62;11.77;5.66;8.25;14.62
espírito santo;7.21;7.87;25.26;12.39;21.04;34.56
rio de janeiro;4.24;4.85;12.92;7.31;12.4;36.04
são paulo;2.97;3.15;11.22;5.94;8.15;17.93
sul;2.89;3.19;7.89;4.75;7.26;13.17
paraná;4.22;4.91;12.5;7.47;10.35;25.83
santa catarina;7.58;8.15;24.27;11.83;17.3;28.63
rio grande do sul;4.51;4.88;10.9;7.06;12.42;17.16
centro-oeste;2.52;3.02;7.28;4.69;7.19;12.49
mato grosso do sul;6.55;8.61;14.13;10.56;14.8;25.93
mato grosso;5.3;5.76;21.65;10.89;17.27;18.94
goiás;4.05;4.91;10.55;6.88;12.1;22.59
