;Unnamed: 1_level_0;Agrícola;Indústria;Construção;Comércio e Reparação;Serviços
               Brasil;1.2377450125357592;4.082722051581569;2.6150098197591203;3.2751171251760947;2.1293954162777142;1.5209821765716287
Situação do domicílio;;;;;;
Urbana;1.37;5.81;2.65;3.4;2.19;1.59
Rural;4.79;5.5;17.22;13.65;12.4;9.13
Grandes Regiões e Unidades da Federação;;;;;;
Norte;3.22;13.1;7.11;7.21;4.59;3.69
Rondônia;8.02;23.69;20.53;19.41;10.27;10.5
Acre;5.5;14.27;27.16;19.13;11.81;7.5
Amazonas;9.21;25.6;16.19;15.72;13.38;11.16
Roraima;9.66;46.32;25.7;28.17;17.58;14.38
Pará;4.49;20.33;9.73;11.54;6.48;4.86
Amapá;16.63;54.12;38.71;33.18;19.71;19.19
Tocantins;13.57;22.07;25.54;23.93;15.45;18.22
Nordeste;2.75;6.94;6.03;6.43;4.41;2.98
Maranhão;14.68;24.16;33.15;23.9;18.35;15.34
Piauí;9.86;12.74;30.47;25.05;18.8;12.57
Ceará;4.97;14.12;7.7;9.46;9.29;5.4
Rio Grande do Norte;7.22;14.25;19.52;21.47;14.3;8.84
Paraíba;9.31;21.16;20.31;24.56;16.6;14.58
Pernambuco;4.69;15.7;13.09;15.1;8.26;5.75
Alagoas;8.7;15.59;30.25;27.68;19.73;12.59
Sergipe;8.93;42.74;19.15;21.53;13.6;10.31
Bahia;4.07;10.86;10.09;10.23;7.09;5.08
Sudeste;2.04;8.65;4.3;6.24;3.8;2.6
Minas Gerais;4.03;10.3;7.73;9.67;7.06;4.89
Espírito Santo;7.28;12.44;17.32;20.19;10.81;10.81
Rio de Janeiro;4.34;50.32;10.86;15.26;9.9;5.14
São Paulo;2.96;18.09;5.93;10.2;5.32;3.86
Sul;2.85;8.82;5.33;8.32;4.92;3.94
Paraná;4.08;13.15;8.66;12.34;7.32;5.73
Santa Catarina;7.17;16.27;11.39;22.63;13.76;12.4
Rio Grande do Sul;4.67;14.42;8.41;12.3;7.33;5.49
Centro-Oeste;2.62;10.63;6.85;7.73;5.28;3.56
Mato Grosso do Sul;6.71;16.54;13.72;19.96;14.09;9.0
Mato Grosso;5.66;14.47;13.1;21.75;13.08;7.63
Goiás;4.19;18.13;10.31;10.37;7.87;6.21
Distrito Federal;4.87;44.39;16.84;16.63;9.47;5.91
