;total;grupos de idade;grupos de idade;grupos de idade;grupos de idade;grupos de idade;grupos de idade;grupos de idade
;total;10 a 15 anos;16 a 24 anos;25 a 34 anos;35 a 49 anos;50 a 59 anos;60 a 69 anos;70 anos ou mais
               brasil;0.0;2.96;1.39;1.31;1.19;1.93;2.81;3.73
urbana;0.0;3.03;1.42;1.34;1.22;2.01;2.98;3.9
rural;0.0;12.77;6.91;6.04;4.67;6.87;8.47;10.65
norte;0.0;5.79;3.04;3.03;2.67;4.7;8.09;12.57
rondônia;0.0;16.83;7.25;11.38;7.24;11.16;27.33;27.16
acre;0.0;20.83;17.92;8.2;8.42;19.32;34.02;22.42
amazonas;0.0;14.85;6.34;7.76;7.22;11.03;19.76;42.76
roraima;0.0;18.52;9.16;9.23;10.78;21.13;41.07;100.98
pará;0.0;7.75;4.33;4.3;3.76;6.96;12.47;20.13
amapá;0.0;28.94;10.36;10.67;15.69;18.34;23.97;77.55
tocantins;0.0;24.67;14.74;9.74;7.21;19.06;17.52;21.73
nordeste;0.0;5.17;2.31;2.15;2.22;3.54;5.04;7.21
maranhão;0.0;17.53;11.16;6.62;10.44;15.16;17.95;20.08
piauí;0.0;21.86;14.29;11.42;8.0;16.35;22.7;23.9
ceará;0.0;10.22;3.83;4.81;3.82;7.18;11.17;13.9
rio grande do norte;0.0;18.47;7.75;8.21;8.14;11.79;16.29;30.07
paraíba;0.0;16.72;7.78;8.57;8.7;16.64;20.27;27.05
pernambuco;0.0;10.97;3.98;3.99;4.45;7.31;8.18;15.62
alagoas;0.0;24.71;8.78;12.72;11.05;15.9;36.79;43.51
sergipe;0.0;20.53;7.85;11.71;8.03;12.9;19.01;34.97
bahia;0.0;8.99;4.03;4.03;3.7;6.15;9.47;12.17
sudeste;0.0;5.73;2.68;2.54;2.16;3.45;4.84;5.92
minas gerais;0.0;8.55;4.39;4.63;3.75;5.81;7.97;9.86
espírito santo;0.0;17.13;10.05;9.26;7.08;13.23;23.0;23.73
rio de janeiro;0.0;12.98;5.38;4.79;4.91;7.19;9.69;13.36
são paulo;0.0;9.16;4.08;3.84;3.19;5.26;7.76;8.8
sul;0.0;8.0;4.0;3.31;3.04;4.24;6.45;9.23
paraná;0.0;13.24;5.51;4.96;4.83;7.17;10.56;16.36
santa catarina;0.0;16.71;11.56;8.97;7.34;9.51;18.72;22.71
rio grande do sul;0.0;11.96;6.4;5.04;4.52;6.32;8.77;12.43
centro-oeste;0.0;7.19;3.21;3.13;2.97;5.1;8.25;9.64
mato grosso do sul;0.0;16.58;8.09;7.83;9.19;13.61;17.2;19.67
mato grosso;0.0;18.1;8.33;6.7;7.02;11.11;19.95;21.26
goiás;0.0;12.57;5.18;4.8;4.35;8.05;12.25;14.89
