;total(1);classes de rendimento mensal domiciliar per capita (salário mínimo);classes de rendimento mensal domiciliar per capita (salário mínimo);classes de rendimento mensal domiciliar per capita (salário mínimo);classes de rendimento mensal domiciliar per capita (salário mínimo);classes de rendimento mensal domiciliar per capita (salário mínimo);classes de rendimento mensal domiciliar per capita (salário mínimo)
;total;menosde 1/4;1/4 a menosde 1/2;1/2 a menosde 1;1 a menosde 2;2 ou mais;semrendimento(2)
               brasil;1.22;4.16;2.68;1.81;1.6;1.8;7.17
urbana;1.15;4.08;2.68;1.82;1.65;1.82;7.55
rural;4.3;7.96;7.25;6.29;7.01;8.21;19.03
norte;3.11;8.46;5.26;4.26;4.0;4.74;15.8
rondônia;7.52;23.84;19.12;11.08;10.16;12.0;55.56
acre;7.61;24.51;18.53;11.49;9.16;13.18;25.93
amazonas;9.0;23.18;16.67;11.65;10.68;13.9;33.3
roraima;8.9;23.37;16.24;16.09;19.01;19.3;95.35
pará;4.35;10.68;6.41;6.03;6.31;7.31;21.15
amapá;15.76;47.86;26.14;15.03;14.62;18.97;64.83
tocantins;11.8;43.07;20.86;14.84;9.92;14.05;89.81
nordeste;2.78;6.13;4.54;3.28;3.12;3.23;12.6
maranhão;15.32;33.14;20.29;13.74;12.26;15.92;35.63
piauí;10.42;26.0;16.23;15.43;11.84;9.85;39.05
ceará;4.27;10.16;6.48;5.84;6.47;6.42;27.71
rio grande do norte;6.1;20.92;13.82;7.98;9.01;10.99;52.36
paraíba;10.17;17.02;15.53;12.4;14.29;11.03;57.64
pernambuco;4.39;8.92;8.19;6.35;7.25;8.3;27.84
alagoas;7.44;16.05;14.37;13.55;14.59;18.44;54.68
sergipe;6.44;18.74;11.22;12.31;7.55;14.21;75.88
bahia;4.01;8.14;6.99;5.61;5.42;5.31;23.82
sudeste;1.96;8.79;5.48;3.45;2.75;2.97;15.38
minas gerais;3.81;14.03;9.86;6.42;4.43;5.08;32.86
espírito santo;6.77;27.19;13.38;10.55;9.11;10.6;54.74
rio de janeiro;4.05;20.73;12.46;7.29;6.16;6.08;27.56
são paulo;2.87;14.95;8.79;5.24;4.16;4.37;22.91
sul;2.61;13.01;7.6;4.75;3.78;3.71;16.82
paraná;3.81;18.67;12.77;7.43;5.48;5.95;23.65
santa catarina;7.59;40.48;20.56;11.25;10.24;9.11;102.45
rio grande do sul;3.89;17.4;10.78;7.37;5.58;5.49;21.33
centro-oeste;2.46;12.32;6.73;4.11;3.59;4.05;20.04
mato grosso do sul;6.77;26.78;15.01;10.34;8.64;10.51;64.8
mato grosso;5.28;25.37;19.62;9.59;6.62;9.12;51.59
goiás;3.93;21.0;9.45;6.41;5.83;7.31;29.75
distrito federal;4.45;18.42;12.96;7.9;7.83;6.78;30.43
