;total;empregados;trabalhadores domésticos;conta própria;empregadores;outra
               brasil;0.0;0.5;1.36;0.85;1.93;2.83
urbana;0.0;0.31;1.32;0.82;1.98;2.46
rural;0.0;2.53;4.68;2.24;6.72;2.53
norte;0.0;1.67;4.06;2.04;5.65;6.07
rondônia;0.0;3.25;8.86;5.25;12.73;12.15
acre;0.0;3.37;15.28;5.19;21.19;13.94
amazonas;0.0;2.24;7.7;4.67;14.61;9.27
roraima;0.0;4.85;21.9;9.3;24.11;21.46
pará;0.0;3.51;7.82;2.98;8.36;12.18
amapá;0.0;3.95;9.51;12.39;21.51;13.85
tocantins;0.0;4.09;8.55;8.15;15.27;13.96
nordeste;0.0;1.56;2.84;1.83;4.51;4.56
maranhão;0.0;9.69;12.91;7.77;18.78;18.09
piauí;0.0;5.31;12.95;3.5;19.53;10.95
ceará;0.0;3.5;4.71;3.66;9.49;9.17
rio grande do norte;0.0;3.71;9.23;7.14;15.58;14.83
paraíba;0.0;2.57;8.49;5.38;17.43;10.38
pernambuco;0.0;2.69;5.64;4.17;9.64;13.46
alagoas;0.0;3.66;12.19;7.62;19.13;9.54
sergipe;0.0;2.96;10.66;4.67;16.41;16.51
bahia;0.0;3.09;5.95;3.74;7.89;9.4
sudeste;0.0;0.5;2.09;1.28;3.03;4.89
minas gerais;0.0;1.04;3.2;2.09;4.58;6.46
espírito santo;0.0;3.61;8.85;3.9;13.41;17.57
rio de janeiro;0.0;0.98;4.0;2.36;5.71;11.61
são paulo;0.0;0.67;3.42;2.14;5.02;7.54
sul;0.0;1.37;3.37;1.91;4.1;7.02
paraná;0.0;1.8;4.44;3.18;7.77;9.69
santa catarina;0.0;2.88;11.11;4.9;8.35;21.34
rio grande do sul;0.0;2.48;4.87;2.56;5.59;9.1
centro-oeste;0.0;0.99;3.51;2.24;5.62;8.24
mato grosso do sul;0.0;1.91;6.93;3.71;11.37;16.55
mato grosso;0.0;2.72;8.13;6.79;14.0;12.43
goiás;0.0;1.64;5.59;3.1;9.04;14.49
